Plant Common Name ,Disease Name (Type),Treatment Methods (Human-Friendly Guide)
Green Chilli,Cercospora Leaf Spot (Fungal),"Small, circular ""frog-eye"" spots with white centers and brown borders appear. If not treated, leaves turn yellow and fall off. Spray Mancozeb (2g/liter) or Carbendazim (1g/liter). Avoid high-density planting and remove fallen leaves from the field, as they harbor the fungal spores."
Green Chilli,Bacterial Leaf Spot (Bacterial),"Small, dark, greasy-looking spots appear on leaves. This causes heavy leaf drop during rainy seasons. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). Avoid overhead watering; use drip or furrow irrigation. Do not enter the field when the plants are wet to avoid spreading the bacteria."
Green Chilli,Choanephora Blight (Fungal),"Also called ""Wet Rot,"" young leaves and flower buds turn black and rot. They look like they are covered in tiny black pins. This happens in very humid weather. Spray Copper Oxychloride (3g/liter). Improve field drainage and avoid over-using Nitrogen fertilizer, which makes the plant tissue too soft for the fungus."
Green Chilli,Mosaic Virus (Viral),"Leaves show a patchy ""mosaic"" of light and dark green. This is spread by Aphids. There is no cure; focus on killing the aphids using yellow sticky traps and spraying Thiamethoxam (0.3g/liter). Pull out and destroy infected plants. Always wash your hands with soap after touching a sick plant before touching healthy ones."
Green Chilli,Phytophthora Root Rot (Fungal),"Large, dark-brown water-soaked spots appear on leaves and the stem base rots. This happens during the monsoon. Spray Metalaxyl + Mancozeb (2g/liter) and improve drainage immediately. Planting on raised beds is the best way to keep the plant's ""collar"" area dry and safe from this fungus."
Green Chilli,Anthracnose Spot* (Fungal),"Distinctive sunken black spots appear on leaves, which eventually turn into ""holes."" This is the same fungus that rots the fruit. Spray Propiconazole (1ml/liter) or Mancozeb (2.5g/liter). Ensure the field is clean of old plant debris. Mulching the soil with plastic or straw helps prevent soil-borne spores from splashing onto the lower leaves during rain."
Green Chilli,Gray Mold* (Fungal),"A fuzzy grey mold grows on leaves and flowers during cool, damp weather. It usually starts on wounded leaves. The best treatment is ventilation—prune extra leaves to let air move through. If severe, spray Carbendazim (1g/liter). Avoid using overhead sprinklers that keep the leaves wet for long periods."
Green Chilli,Fusarium Wilt (Fungal),"Lower leaves turn yellow and the whole plant wilts suddenly. Since this is a soil-borne fungus, drench the base of the plant with Carbendazim (2g/liter). The best prevention is to mix Trichoderma (2kg/acre) into your farmyard manure before planting. Ensure the field is not waterlogged, as the fungus loves wet, heavy soil."
Green Chilli,Southern Blight* (Fungal),"A white, ""cotton-like"" mold grows on the stem near the soil, and the leaves wilt rapidly. You may see small, mustard-seed-like structures on the mold. Drench the soil with a solution of Trichoderma. Deep summer plowing and soil solarization (covering soil with plastic in May) are very effective in killing this soil fungus before the next crop."
Green Chilli,Algal Leaf Spot* (Algal),"Orange or rust-colored velvety spots appear on the leaves. This is common in very humid, tropical areas. Spray Copper Oxychloride (3g/liter). This usually happens when the plant is weak; ensuring proper fertilization (NPK) and good drainage will help the plant recover. It is more common in shaded parts of the field."
Cabbage,Black Rot (Bacterial),"You will see yellow ""V-shaped"" patches on leaf edges. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). Always use ""hot water treated"" seeds (50°C for 30 mins) to kill hidden bacteria. Avoid working in the field when plants are wet. This is the most serious cabbage disease in India; rotating crops for 2 years is essential."
Cabbage,Alternaria Leaf Spot (Fungal),"Dark-brown circular spots with ""target rings"" appear on leaves. Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter). This fungus loves wet weather. Ensure good drainage and remove old, infected leaves. Rotating your cabbage with non-mustard family crops (like onions) for 2 years helps clean the soil and prevents the disease from returning next season."
Cabbage,Downy Mildew (Fungal),"Yellow patches appear on top of leaves with white, ""cottony"" growth underneath. Spray Metalaxyl + Mancozeb (2g/liter). Avoid overhead watering that keeps leaves wet overnight. Thin out plants so air moves freely between the heads. This keeps leaves dry and stops the fungus. Start sprays early in the nursery stage if symptoms appear."
Cabbage,Clubroot (Fungal/Protist),"Leaves wilt during the day but ""recover"" at night. If you pull the plant, roots look swollen like ""clubs."" There is no chemical cure once it starts. The best treatment is to increase soil pH by adding Lime (Chuna) to the soil during land prep. Avoid planting cabbage or cauliflower in the same spot for at least 3 years to starve the soil fungus."
Cabbage,Bacterial Soft Rot* (Bacterial),"This causes a mushy, water-soaked rot on the head that smells very foul. It spreads fast in warm, wet weather through wounds. To treat, spray Copper Oxychloride (3g/liter) or Streptocycline. Harvest only in dry weather and handle heads carefully to avoid scratches. Clear all plant debris after harvest. Rotating with corn or legumes helps reduce the bacteria in the soil."
Cabbage,Powdery Mildew* (Fungal),"White, flour-like powder appears on leaf surfaces, eventually covering them. Spray wettable Sulfur (3g/liter) or Dinocap (1ml/liter). This usually happens in dry, warm weather. A simple home remedy is a mixture of baking soda and water (5g/liter). Avoid using too much Nitrogen fertilizer, as it causes soft, ""juicy"" growth that the fungus finds very easy to infect."
Cabbage,White Rust (Fungal),"Shiny, white, ""blister-like"" spots appear on the underside of leaves. Spray Copper Oxychloride (3g/liter) or Mancozeb (2g/liter). This usually appears during the winter months. Keep the field free of ""Mustard"" weeds, as the disease jumps from wild mustard to your cabbage. Ensure balanced fertilization and avoid heavy irrigation during cool mornings to keep leaves dry."
Cabbage,Black Leg (Fungal),"Circular, light-brown spots with tiny black dots appear on leaves. The stem near the ground turns black and rots. Spray Carbendazim (1g/liter). Use healthy seeds and treat them with hot water before planting. Remove all ""cabbage trash"" after harvest, as the fungus survives in the stems. Deep summer plowing kills the spores hiding in the soil."
Cabbage,Cabbage Mosaic Virus (Viral),"Leaves show a patchy ""mosaic"" of light and dark green and may look wrinkled. Spread by Aphids. You cannot cure the virus; you must kill the aphids using yellow sticky traps and spraying Neem oil (5ml/liter). Pull out and bury infected plants immediately to prevent the insects from carrying the virus to healthy ones. Do not save seeds from infected plants."
Cabbage,Tipburn* (Physiological),"The edges of the inner leaves turn brown and dry. This is caused by a Calcium deficiency, often due to uneven watering. To fix, maintain steady soil moisture (don't let it get bone dry) and spray Calcium Nitrate (2-3g/liter) directly on the plant every 15 days. Avoid over-fertilizing with Potash or Nitrogen, as they can block the plant from drinking Calcium."
Cabbage,Head Splitting* (Physiological),"The cabbage head suddenly cracks open. This happens when heavy rain follows a dry spell; the plant drinks too much water too fast. Maintain uniform soil moisture with regular, small waterings. If a heavy rain is coming and your cabbage is already large, harvest it immediately before the rain starts. Mulching helps keep the soil moisture levels stable."
Cabbage,Wirestem* (Fungal),"The base of the stem on young plants turns dark, hard, and thin like a wire. This is caused by soil fungi (Rhizoctonia). Drench the soil with Copper Oxychloride (2g/liter). To prevent it, always use raised nursery beds to ensure good drainage. Mixing Trichoderma into your compost before planting provides a natural shield that protects the delicate stems from soil attack."
Brinjal,Little Leaf (Phytoplasma),"This is the most serious Indian brinjal disease. Leaves become tiny, crowded, and bushy; the plant stops fruiting. It is spread by leafhoppers. There is no cure for an infected plant—pull it out and bury it immediately. To prevent it, spray Dimethoate (2ml/liter) or Neem oil to kill the insects. Growing a border of maize or bajra helps block the leafhoppers."
Brinjal,Phomopsis Blight (Fungal),"You will see circular brown spots on leaves and soft, sunken rotted spots on fruits. To treat, spray Mancozeb (2g/liter) or Carbendazim (1g/liter). Always treat seeds with Thiram (3g/kg) before sowing. Remove and burn any infected fruits or leaves immediately to stop the fungal spores from flying to healthy plants."
Brinjal,Bacterial Wilt (Bacterial),"The plant suddenly droops and dies while still green. There is no chemical cure. Use resistant varieties like Arka Neelkanth. Before planting, dip seedling roots in a Pseudomonas fluorescens solution. Rotate your crop with grains like ragi or maize; never plant brinjal where you just grew tomatoes, chillies, or potatoes."
Brinjal,Cercospora Leaf Spot (Fungal),"Small, circular yellow-brown spots appear on leaves. Spray Copper Oxychloride (3g/liter) or Mancozeb (2g/liter). This fungus loves high humidity and crowded plants. Ensure proper spacing so sunlight hits the lower leaves. Removing older, infected leaves from the bottom of the plant helps reduce the ""fungal load"" in your field."
Brinjal,Alternaria Leaf Spot (Fungal),"Look for dark-brown spots with ""concentric rings"" (like a target). Spray Chlorothalonil (2g/liter) or Mancozeb (2.5g/liter). Since the fungus survives on old plant debris, always clean your field after harvest. Deep summer plowing is very helpful in killing the spores hiding in the ground during the hot months."
Brinjal,Damping Off (Fungal),"This kills young seedlings in the nursery by rotting the stem at soil level. Treat seeds with Trichoderma viride (4g/kg) before sowing. Always use raised nursery beds for better drainage. If you see rot, drench the soil with Copper Oxychloride (2g/liter). Keep the soil moist but never soggy."
Brinjal,Powdery Mildew (Fungal),"White, flour-like patches appear on the underside of leaves, with yellow spots on top. Spray wettable Sulfur (3g/liter) or Hexaconazole (2ml/liter). A simple home remedy is a mixture of baking soda and water (5g/liter). Avoid over-using Nitrogen, as it makes the leaves soft and easy for the fungus to infect."
Brinjal,Mosaic Virus (Viral),"Leaves show a patchy ""mosaic"" of light and dark green and look deformed. Spread by Aphids. You cannot cure the virus; you must kill the aphids. Install yellow sticky traps (15 per acre) and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately."
Brinjal,Fusarium Wilt (Fungal),"Lower leaves turn yellow and the plant wilts slowly. The stem inside turns brown. Drench the soil with Carbendazim (2g/liter). The best prevention is to mix Trichoderma into your manure before planting. This beneficial fungus eats the disease fungus in the soil. Avoid waterlogging, as wet soil helps the fungus move."
Brinjal,Root Knot Nematode (Parasitic),"The plant looks yellow and stunted; roots have small, round ""knots"" or swellings. Plant African Marigold flowers between brinjal rows—their roots release chemicals that kill these worms. Apply Neem Cake (250kg/acre) to the soil. Use Paecilomyces lilacinus (bio-agent) in the soil during land preparation."
Brinjal,Collar Rot (Fungal),"A white, ""silky"" mold grows on the stem just above the soil line, and the plant wilts. You may see small, brown, mustard-seed-like structures (sclerotia). Drench the base of the plant with Copper Oxychloride (3g/liter). Deep summer plowing and soil solarization (covering with plastic) are very effective in killing the fungus in the soil."
Brinjal,Leaf Spot/Fruit Rot* (Fungal),"Caused by Phyllosticta, this causes bleach-colored spots on leaves and rots the fruit near the stem. Spray Mancozeb (2g/liter). Avoid high humidity and ensure the plants are not overcrowded. This disease is most common during the monsoon season. Use drip irrigation to keep the fruit and leaves dry."
Brinjal,Dwarf/Stunt Virus* (Viral),"The plant stays very short with small leaves and yellowing. It is often confused with Little Leaf but is spread by a different insect. Pull out and destroy infected plants immediately. Control the spreading insects (Leafhoppers and Aphids) using Neem-based sprays. Avoid planting near old, infected brinjal fields."
Brinjal,Fruit Crack* (Physiological),"While not a ""disease,"" cracks on the fruit allow fungi to enter. This is caused by sudden heavy rain after a dry period or Boron deficiency. Maintain uniform soil moisture. Spray Borax (2g/liter) once during the flowering stage to keep the fruit skin flexible and strong."
Bitter Gourd,Downy Mildew (Fungal),"You will see yellow, angular patches on top of leaves and purplish-grey ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter) immediately. Avoid overhead watering. Growing vines on a trellis (Mandap) is the best way to keep leaves dry and stop the fungus from spreading."
Bitter Gourd,Powdery Mildew (Fungal),"White, flour-like powder appears on both sides of the leaf. Spray wettable Sulfur (3g/liter) or Carbendazim (1g/liter). A simple home remedy is a mixture of baking soda and water (5g/liter). Avoid over-using Nitrogen, which makes leaves soft and easy to infect. Keeping the field weed-free reduces spores."
Bitter Gourd,Mosaic Virus (Viral),Leaves show light and dark green patches and become wrinkled. Spread by Aphids. There is no chemical cure. Control the insects: use yellow sticky traps (15 per acre) and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately to save the rest of the field.
Bitter Gourd,Fusarium Wilt (Fungal),"The vine yellows and wilts suddenly, usually during the hot part of the day. This is soil-borne. Drench the soil with Carbendazim (2g/liter). The best prevention is to mix Trichoderma viride (2kg/acre) with manure before planting. Use certified seeds and ensure the field has excellent drainage."
Bitter Gourd,Fruit Rot / Belly Rot (Fungal),"Fruit turns soft and watery where it touches wet soil, often with a white mold. Spray Mancozeb (3g/liter) or Copper Oxychloride (2g/liter). Staking the vines is the best way to keep fruit off the ground. Remove and destroy rotted fruits immediately. Using plastic mulch prevents soil spores from splashing."
Bitter Gourd,Angular Leaf Spot (Bacterial),"Small, water-soaked spots that look ""square"" because they are blocked by leaf veins. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). This bacteria spreads through splashing water. Avoid working in the field when leaves are wet. Use drip irrigation instead of sprinklers."
Bitter Gourd,Cercospora Leaf Spot (Fungal),"Small circular spots with grey centers and brown borders. Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter). This fungus loves hot, humid weather. Prune lower leaves near the soil to improve air movement. Clean up and burn old plant debris after harvest to kill hidden spores."
Bitter Gourd,Anthracnose (Fungal),"Water-soaked yellowish spots on leaves and sunken black spots on fruit. Spray Carbendazim (1g/liter) or Propiconazole (1ml/liter). Treat seeds with Thiram (3g/kg) before sowing. Avoid evening irrigation; morning watering allows the sun to dry the leaves quickly, preventing infection."
Bitter Gourd,Witches' Broom (Phytoplasma),"The vine grows hundreds of tiny, crowded leaves that look like a broom. Spread by leafhoppers. Once infected, it cannot be cured. Pull out and bury the vine immediately. Control leafhoppers with yellow sticky traps and sprays of Dimethoate (2ml/liter) or Neem Oil."
Bitter Gourd,Yellow Vein Mosaic* (Viral),"The veins of the leaf turn bright yellow while the rest stays green. This is spread by Whiteflies. Control the whiteflies with yellow sticky traps and sprays of Acetamiprid (0.4g/liter). Pull out infected plants immediately. Keep the field free of weeds like Malvastrum, which act as a home for the virus."
Bitter Gourd,Scab* (Fungal),"Small, water-soaked spots on leaves that turn into ""shot holes."" Fruit develops oozing brown spots. Spray Chlorothalonil (2g/liter) or Mancozeb (2g/liter). This disease loves cool, moist nights. Avoid planting too early in the winter. Use disease-free seeds and rotate crops with non-cucurbits for 2 years."
Bitter Gourd,Alternaria Blight* (Fungal),"Small brown spots with ""target-like"" rings appear on leaves. Spray Mancozeb (2.5g/liter) or Iprodione. This usually attacks older leaves first. Ensure the plant has enough nutrition (especially Potash) to stay strong. Remove old leaves from the base to stop the fungus from climbing up the vine."
Bitter Gourd,Root Knot Nematode* (Parasitic),Plants look stunted and yellow; roots have round knots or swellings. Plant African Marigold flowers between bitter gourd rows. Apply Neem Cake (250kg/acre) to the soil during land preparation. Use the bio-agent Purpureocillium lilacinum in the soil to naturally kill the worm eggs.
Bitter Gourd,Damping Off (Fungal),"Kills young seedlings by rotting the stem at the soil line. Treat seeds with Trichoderma (10g/kg) or Thiram (3g/kg). Use raised nursery beds and do not over-water. If you see rot, drench the soil with Copper Oxychloride (2g/liter). Ensure the nursery is in a sunny, well-ventilated spot."
Beetroot,Cercospora Leaf Spot (Fungal),The most common issue. Look for circular spots with grey centers and reddish-purple borders. Spray Mancozeb (2g/liter) or Carbendazim (1g/liter). This fungus loves humidity. Space plants properly to ensure leaves dry quickly. Remove and burn heavily infected leaves immediately to stop the spread.
Beetroot,Alternaria Leaf Spot (Fungal),"Dark brown to black spots with ""target-like"" rings appear on leaves. Spray Chlorothalonil (2g/liter) or Copper Oxychloride (3g/liter). It usually attacks older leaves first. Ensure the soil has enough Potassium (Potash) to keep leaves strong. Clean up plant debris after harvest to kill hidden spores."
Beetroot,Downy Mildew (Fungal),"Pale yellow patches on top of leaves with grey-purple ""fuzz"" underneath. Spray Metalaxyl + Mancozeb (2g/liter). This disease loves cool, wet weather. Avoid overhead watering in the evening. Rotate beetroot with crops like onions or carrots for 2 years to break the fungus life cycle."
Beetroot,Powdery Mildew (Fungal),"White, flour-like powder appears on both sides of the leaf. Spray wettable Sulfur (3g/liter) or Hexaconazole (2ml/liter). A simple home remedy is a baking soda and water mixture (5g/liter). Avoid over-using Nitrogen, which makes leaves soft and easy to infect."
Beetroot,Beet Mosaic Virus (Viral),"Patchy ""mosaic"" of light and dark green on wrinkled leaves. Spread by Aphids. There is no chemical cure. Control the insects: use yellow sticky traps and spray Neem oil (5ml/liter) or Imidacloprid (0.5ml/liter). Pull out and bury infected plants immediately. Keep the field free of weeds."
Beetroot,Bacterial Leaf Spot (Bacterial),"Small, irregular, water-soaked spots that turn dark brown or black. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). Avoid working in the field when leaves are wet. Use drip irrigation to keep foliage dry and ensure excellent field drainage."
Beetroot,Phoma Leaf Spot (Fungal),"Large, light-brown spots with tiny black dots inside. Often a sign of Boron deficiency. Spray Carbendazim (1g/liter) and apply Borax (10kg/acre) to the soil. You can also spray a Boron-based liquid fertilizer (2g/liter) once during the growth stage to strengthen the plant."
Beetroot,Beet Curly Top Virus (Viral),"Leaves curl upward, become leathery, and veins turn purple. Spread by Beet Leafhoppers. No cure exists; focus on insects. Spray Dimethoate (2ml/liter) and use yellow sticky traps. Remove and destroy infected plants immediately to prevent the whole field from being stunted."
Beetroot,Beet Rust* (Fungal),"Small, raised, reddish-orange ""pustules"" (like rust on iron) on leaf undersides. Spray Mancozeb (2g/liter) or Propiconazole (1ml/liter). This usually appears in very humid conditions. Avoid over-irrigating and ensure the field is free of wild weeds that act as host plants."
Beetroot,Ramularia Leaf Spot* (Fungal),"Very similar to Cercospora but spots are more irregular and have a white, crusty center. Spray Carbendazim (1g/liter) or Mancozeb (2g/liter). This fungus prefers cooler temperatures. Proper crop rotation and removing infected leaf trash after harvest are the best ways to prevent a breakout."
Beetroot,Damping Off* (Fungal),"Kills young seedlings in the nursery by rotting the stem at the soil line. Treat seeds with Trichoderma (10g/kg) before sowing. Use raised beds for better drainage. If rot appears, drench soil with Copper Oxychloride (2g/liter). Do not over-water the young seedlings."
Beetroot,Verticillium Wilt* (Fungal),"Outer leaves turn yellow and wilt, even if the soil is wet. The inner core of the beetroot may show dark streaks. There is no effective chemical spray. Rotate crops with non-host plants like corn or wheat. Solarise the soil in summer by covering it with plastic to kill the fungus."
Beetroot,Yellows Virus* (Viral),"Older leaves turn thick, brittle, and bright yellow between the veins. Spread by Aphids. There is no cure for the virus. Use yellow sticky traps (15/acre) and spray Thiamethoxam (0.3g/liter) to control the aphids. Keeping the field borders clean of wild weeds is crucial for prevention."
Carrot,Alternaria Leaf Blight (Fungal),"Look for dark brown/black spots with yellow edges on leaf margins. Leaves look ""scorched."" Spray Mancozeb (2g/liter) or Copper Oxychloride (3g/liter). Avoid overhead watering. Rotate carrots with onions or garlic for 3 years. Use high-quality, treated seeds and ensure the field is well-fertilized to keep plants strong."
Carrot,Cercospora Leaf Blight (Fungal),"Small circular spots with grey centers appear on younger leaves first. Spray Chlorothalonil (2g/liter) or Carbendazim (1g/liter). To prevent this, don't plant too densely; good airflow helps leaves dry. Treat seeds with hot water (50°C for 20 mins) before sowing. Remove crop debris after harvest to stop the fungus from overwintering in the soil."
Carrot,Bacterial Leaf Blight (Bacterial),"Yellow, angular spots on leaves that turn dark brown and look ""varnished"" or shiny underneath. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (2g/liter). This spreads through splashing rain. Use drip irrigation to keep leaves dry. Avoid working in the field when plants are wet. Always use disease-free, certified seeds."
Carrot,Powdery Mildew (Fungal),"White, flour-like powder covers leaves and stems in dry, warm weather. Spray wettable Sulfur (3g/liter) or Hexaconazole (2ml/liter). A home remedy is a baking soda-water mix (5g/liter). Avoid over-using Nitrogen, which creates soft growth that the fungus loves. Ensure the field is weed-free to reduce the count of hidden fungal spores."
Carrot,Aster Yellows (Phytoplasma),"Young leaves turn yellow and the center becomes a bushy ""rosette."" Roots grow many tiny ""hairs."" Spread by Leafhoppers. There is no cure; pull out and bury infected plants. Control Leafhoppers using yellow sticky traps and sprays of Neem oil (5ml/liter) or Dimethoate (2ml/liter). Keep field borders clear of weeds where insects hide."
Carrot,Cottony Soft Rot / White Mold (Fungal),"A white, cotton-like mold grows on the crown near the soil, rotting the root top. Spray Carbendazim (1g/liter). This loves high humidity. Avoid over-watering and use raised beds for better drainage. Solarise soil in summer by covering it with plastic sheets to kill spores. In storage, keep carrots cool (0°C) and dry."
Carrot,Damping Off (Fungal),"Seedlings rot at the soil line and fall over shortly after emerging. Treat seeds with Trichoderma viride (4g/kg) or Captan (3g/kg) before sowing. Use raised beds to prevent waterlogging. If rot appears, drench soil with Copper Oxychloride (2g/liter). Allow the soil surface to dry slightly between waterings to discourage fungus."
Carrot,Root Knot Nematode (Parasitic),"Plants look yellow and stunted; roots have ""knots,"" galls, or forked shapes. Plant African Marigold between carrot rows—their roots naturally kill these worms. Apply Neem Cake (250kg/acre) during land prep. Use the bio-agent Paecilomyces lilacinus in the soil to protect the growing roots."
Carrot,Cavity Spot (Fungal/Oomycete),"Small, sunken grey-to-brown elliptical spots appear across the root. This is caused by excessive soil moisture. Improve field drainage immediately. Avoid over-fertilizing with Nitrogen. Harvest carrots as soon as they are mature, as older carrots are more likely to get infected. Do not plant in heavy clay soils that hold water."
Carrot,Black Rot (Fungal),"Causes ""damping-off"" in seedlings and black, sunken lesions on the root crown. Spread through infected seeds. Treat seeds with hot water before sowing. Implement a long crop rotation (3-4 years). Plow crop residue deep into the soil after harvest. Store carrots at very low temperatures (0°C) to stop the rot."
Carrot,Bacterial Soft Rot* (Bacterial),"The root turns into a mushy, foul-smelling liquid. Often starts from harvest wounds. Use well-drained soil and avoid wounding plants during harvest. Grade carrots carefully before storage—remove any bruised ones. Rinsing carrots in a very mild bleach solution (1 part bleach to 20 parts water) before storage can help."
Carrot,Carrot Rust Fly Damage* (Pest/Secondary Rot),"Larvae tunnel into roots, leaving ""rusty"" red-brown tracks that then rot. While a pest, it looks like a disease. Use row covers to prevent flies from laying eggs. Deep plowing in summer kills pupae in the soil. Harvest entire blocks of carrots at once rather than picking randomly to prevent larvae from spreading."
Carrot,Common Scab* (Bacterial),"Raised, ""corky"" or ""warty"" brown patches appear on the carrot skin. This happens in dry, alkaline soils. Keep the soil consistently moist during the first 6 weeks of growth. If your soil is too alkaline, avoid adding lime. Rotating with crops like rye or wheat can help. Do not use fresh manure right before planting, as it encourages scab."
Carrot,Black Root Rot* (Fungal),"Occurs mostly in storage as irregular black spots on the skin. The fungus invades through wounds. Harvest carrots gently to avoid scratches. Cool the carrots immediately after harvest to below 5°C. The disease is favored by high humidity and heat during storage, so ensure the storage area has good air circulation and is kept cold."
Carrot,Motley Dwarf Virus* (Viral),"Leaves turn bright red, orange, or yellow, and the plant is severely stunted. Spread by the willow-carrot aphid. There is no cure for the virus. Control aphids using yellow sticky traps and Neem oil or Dimethoate sprays. Avoid planting near old, overwintered carrot fields which act as a reservoir for the virus and the aphids."
Carrot,Licorice Rot* (Fungal),"Large, black, water-soaked spots appear on roots, usually during storage. It is caused by the Centrospora fungus. Ensure your field has good drainage. Avoid planting carrots in very cold, wet soils. Rotating with non-host crops and ensuring the carrots are washed and dried properly before cold storage is the most effective way to prevent this rot."
Cauliflower,Black Rot (Bacterial),"Yellow ""V-shaped"" patches appear on leaf edges, and veins turn black. This is the most dangerous cauliflower disease. Spray Streptocycline (1g in 10L) mixed with Copper Oxychloride (20g). Always use hot-water treated seeds (50°C for 30 mins). Avoid working in fields when plants are wet to stop the bacteria from spreading."
Cauliflower,Downy Mildew (Fungal),"Yellow patches on top of leaves with white ""cottony"" growth underneath. Spray Metalaxyl + Mancozeb (2g/liter). This happens in cool, humid weather. Thin out your plants so air can move freely. If it starts in the nursery, spray immediately to prevent taking the disease to the main field."
Cauliflower,Alternaria Leaf Spot (Fungal),"Dark brown/black circular spots with ""target rings"" appear on leaves and the curd (head). Spray Mancozeb (2g/liter) or Chlorothalonil (2g/liter). This fungus loves wet weather. Ensure good drainage and remove old infected leaves. Rotating your crop with non-cabbage family plants for 2 years helps clean the soil."
Cauliflower,Clubroot (Fungal/Protist),"Leaves wilt during the day but ""recover"" at night. Roots look swollen and deformed like ""clubs."" There is no chemical cure once it starts. The best treatment is to increase soil pH by adding Lime (Chuna) during land preparation. Avoid planting cauliflower in the same spot for at least 3 years."
Cauliflower,Bacterial Soft Rot (Bacterial),"The curd turns into a mushy, foul-smelling liquid. It spreads fast in warm, wet weather through wounds. Spray Copper Oxychloride (3g/liter). Harvest only in dry weather and handle heads carefully to avoid scratches. Clear all plant debris after harvest and rotate with corn or legumes to break the cycle."
Cauliflower,Whiptail (Physiological),"Leaves become very narrow, twisted, and ""thread-like."" This is a Molybdenum deficiency, common in acidic soil. To fix, apply Lime to the soil and spray Sodium Molybdate (1g/liter) on the leaves. It is a nutritional problem, so standard fungicides will not work."
Cauliflower,Hollow Stem / Browning (Physiological),"The stem becomes hollow and the head turns brownish. This is caused by Boron deficiency. Spray Borax (2g/liter) during the mid-growth stage. Avoid giving too much Nitrogen at once, as rapid growth makes the plant more likely to develop these hollow spaces."
Cauliflower,Damping Off (Fungal),"Young seedlings rot at the base and fall over in the nursery. Treat seeds with Trichoderma viride (4g/kg) before sowing. Use raised beds to ensure water drains away. If rot appears, drench the soil with Copper Oxychloride (2g/liter). Allow the soil surface to dry between waterings."
Cauliflower,Sclerotinia Stem Rot (Fungal),"A white, ""fluffy"" mold grows on the base of the head or stem, turning it watery. Spray Carbendazim (1g/liter). This disease loves high humidity. Avoid over-watering and ensure proper plant spacing for airflow. Solarise your soil in summer with plastic sheets to kill the resting spores before planting."
Cauliflower,Powdery Mildew (Fungal),"White, flour-like powder appears on leaf surfaces. Spray wettable Sulfur (3g/liter) or Dinocap (1ml/liter). This happens in dry, warm weather. A simple home remedy is a mixture of baking soda and water (5g/liter). Avoid over-using Nitrogen, which creates soft growth that the fungus finds easy to infect."
Cauliflower,Black Leg (Fungal),"Circular, light-brown spots with tiny black dots appear on leaves; the stem near the ground turns black and rots. Spray Carbendazim (1g/liter). Use healthy seeds and treat them with hot water. Remove all old plant debris after harvest. Deep summer plowing is very effective in killing the spores hiding in the soil."
Cauliflower,Cauliflower Mosaic (Viral),"Leaves show a patchy ""mosaic"" of light and dark green. Spread by Aphids. You cannot cure the virus; you must kill the aphids using yellow sticky traps and spraying Neem oil (5ml/liter). Pull out and bury infected plants immediately to prevent the insects from carrying the virus to healthy neighbors."
Cauliflower,Ricey / Fuzzy Curds* (Physiological),"The head looks ""fuzzy"" or loose like a flower. This is caused by high temperatures during the head-forming stage or over-maturity. Choose the right variety for your local climate. Harvest the curd as soon as it reaches its full size while it is still firm and white. Don't let it sit in the field too long."
Cauliflower,Blindness* (Physiological/Pest),"The plant grows leaves but fails to produce a curd (head). This is often caused by low temperatures or damage to the ""growing point"" by insects like the Diamondback Moth. Protect young plants from pests early. Use balanced fertilizers; sometimes very low temperatures during the early growth phase can ""blind"" the plant."
Cauliflower,Buttoning* (Physiological),"The plant produces a very tiny, useless head (""button""). This happens if the seedlings are too old when transplanted or if they face stress from lack of water or Nitrogen. Always transplant young, healthy seedlings (4-5 weeks old). Ensure the soil has enough Nitrogen and moisture from the very first day of planting."
Drumstick (Moringa),Twig Blight (Fungal),"Twig tips turn brown and dry up, moving down to the leaves. Spray Copper Oxychloride (3g/liter). Prune affected branches 3 inches below the dead part and burn them. This prevents the fungus from reaching the trunk."
Drumstick (Moringa),Cercospora Leaf Spot (Fungal),"Small, circular brown spots appear, leading to yellowing and leaf fall. Spray Mancozeb (2g/liter). Ensure trees are pruned to allow sunlight into the inner branches. Keep the base of the tree weed-free to reduce humidity."
Drumstick (Moringa),Powdery Mildew (Fungal),"White, flour-like patches on leaves during cool, dry months. Spray wettable Sulfur (3g/liter). A home remedy of Neem oil and baking soda in water works well. Avoid over-watering in winter to keep humidity low."
Drumstick (Moringa),Damping Off (Fungal),Affects seedlings in the nursery; the stem at soil level rots and the plant falls. Treat seeds with Trichoderma viride (4g/kg) before sowing. Use raised beds and ensure the nursery gets plenty of sunlight.
Drumstick (Moringa),Pod Rot (Fungal),"Pods develop dark, sunken spots and turn soft. Spray Carbendazim (1g/liter) during flowering. Avoid planting trees too close together and ensure water does not stand at the base, as wet roots invite pod-rotting fungi."
