Vegetable Common Name ,Disease Name (Type),Scientific name,Treatment Methods
ಹೆಸರು ಕಾಳು,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಬೂದಿ ಬಣ್ಣದ ಪುಡಿ ಬರುತ್ತದೆ. ಗಂಧಕದ ಪುಡಿ ಧೂಳಿಸಿ ಅಥವಾ ಹಸಿ ಹಾಲು ಮತ್ತು ನೀರಿನ ಮಿಶ್ರಣ (1:10) ಸಿಂಪಡಿಸಿ.
ಹಸಿ ಮೆಣಸು (ಕಾಳು),ಪೊಳ್ಳು ದುಂಬಿ  (ಕೀಟ ಬಾಧೆ),ಮೈಲೋಸೆರಸ್ (Myllocerus),ದುಂಬಿ ಕಾಳಿನ ಒಳಗಿನ ತಿರುಳು ತಿಂದು ಕಾಳು ಕಪ್ಪಾಗಿ ಪೊಳ್ಳಾಗುತ್ತದೆ. ತೋಟದಲ್ಲಿ ನೆರಳು ನಿಯಂತ್ರಿಸಿ (ಹೆಚ್ಚು ನೆರಳು ಬೇಡ). ಕಾಳು ಎಳೆಯದಿದ್ದಾಗ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಕಡಲೆಕಾಯಿ,ಕಾಂಡ ಕೊಳೆತ / ಬಿಳಿ ಬೂಷ್ಟು  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸ್ಕ್ಲೆರೋಟಿನಿಯಾ (Sclerotinia),ಕಾಂಡದ ಬುಡದಲ್ಲಿ ಬಿಳಿ ಹತ್ತಿಯಂತಹ ಬೂಷ್ಟು ಬಂದು ಗಿಡ ಸಾಯುತ್ತದೆ. ಬೇಸಿಗೆಯಲ್ಲಿ ಆಳವಾಗಿ ಉಳುಮೆ ಮಾಡಿ. ಟ್ರೈಕೋಡರ್ಮ ಬೆರೆಸಿದ ಗೊಬ್ಬರ ಮಣ್ಣಿಗೆ ಹಾಕಿ.
ಹೆಗ್ಗಣಸು,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಎಲೆ ಮತ್ತು ಬಳ್ಳಿ ಮೇಲೆ ಕಪ್ಪು ಚುಕ್ಕೆ ಬಂದು ಸುಟ್ಟಂತಾಗುತ್ತದೆ. ಬಳ್ಳಿ ಸಾಯುತ್ತದೆ. ಮುಂಗಾರು ಮಳೆಗೂ ಮುನ್ನ ಬಲಿತು ಕೊಯ್ಲಿಗೆ ಬರುವಂತೆ ನಾಟಿ ಮಾಡಿ. ಸ್ಥಳೀಯ ತಳಿ ಬಳಸಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ ಸಗಣಿ ಮತ್ತು ಟ್ರೈಕೋಡರ್ಮ ಲೇಪಿಸಿ.
ಹೇರಳೆಕಾಯಿ,ಕ್ಯಾಂಕರ್  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಕಾಯಿ ಮತ್ತು ಎಲೆ ಮೇಲೆ ಕಂದು ಒರಟಾದ ಬೊಕ್ಕೆ ಬರುತ್ತದೆ. ಮಳೆಗಾಲಕ್ಕೂ ಮುನ್ನ ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಚಿಗುರು ಮತ್ತು ಎಳೆ ಕಾಯಿಗೆ ಬೋರ್ಡೋ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ. ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬೇಡ. ಉಪ್ಪಿನಕಾಯಿಗೆ ಬಳಸುವಾಗ ಸಿಪ್ಪೆ ಸುರಕ್ಷಿತ.
ಹೇರಳೆಕಾಯಿ,ಎಲೆ ಕೊರೆಯುವ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಲಿರಿಯೋಮೈಜಾ (Liriomyza),ಎಲೆ ಮೇಲೆ ಬಿಳಿ ಹಾವಿನಂತಹ ಗೆರೆ ಬಂದು ಎಲೆ ಮುದುರುತ್ತದೆ. ಬಾಧಿತ ಎಲೆ ಚಿವುಟಿ ಹಾಕಿ. ಹೊಸ ಚಿಗುರಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಹುರುಳಿ,ಹಳದಿ ಮೊಸೈಕ್  (ವೈರಸ್ ರೋಗ),ಯೆಲ್ಲೋ ಮೊಸೈಕ್ ವೈರಸ್ (Yellow mosaic virus),ಎಲೆ ಹಳದಿಯಾಗಿ ನರ ಹಸಿರಾಗಿರುತ್ತದೆ. ಕಾಯಿ ಬಿಡುವುದಿಲ್ಲ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ಹಾಕಿ. ಬಿಳಿ ನೊಣ ನಿಯಂತ್ರಿಸಲು ಹಳದಿ ಅಂಟು ಬಲೆ ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ.
ಹುರುಳಿ,ಬೇರು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಮ್ಯಾಕ್ರೋಫೋಮಿನಾ (Macrophomina),ಹೊಲದಲ್ಲಿ ಅಲ್ಲಲ್ಲಿ ಗಿಡ ಒಣಗುತ್ತದೆ. ಕಿತ್ತರೆ ಬೇರು ಕಪ್ಪಾಗಿರುತ್ತದೆ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ ಬೀಜಕ್ಕೆ ಟ್ರೈಕೋಡರ್ಮ ಲೇಪಿಸಿ. ಬೆಳೆ ಬದಲಾವಣೆ ಮಾಡಿ.
ತೊಂಡೆಕಾಯಿ,ಕಾಂಡದ ಗಂಟು  (ಕೀಟ/ಶಿಲೀಂಧ್ರ),ಅಕ್ರೊಸೆರ್ಕೋಪ್ಸ್ (Acrocercops),ಬಳ್ಳಿಯ ಕಾಂಡದ ಮೇಲೆ ಗಂಟು ಬರುತ್ತದೆ. ಗಂಟು ಭಾಗಕ್ಕೆ ಮಣ್ಣು ಏರಿಸಿ ಹೊಸ ಬೇರು ಬಿಡಿಸಿ. ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ. ಗಿಡ ಪೂರ್ತಿ ಒಣಗಿದರೆ ಕಿತ್ತು ಹಾಕಿ.
ಹಲಸಿನ ಹಣ್ಣು,ಹಣ್ಣು ಕೊಳೆತ / ರೈಜೋಪಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ರೈಜೋಪಸ್ (Rhizopus),ಎಳೆ ಕಾಯಿ ಮೇಲೆ ಕಂದು ಮಚ್ಚೆ ಬಂದು ಕಪ್ಪು ಬೂಷ್ಟು ಆವರಿಸುತ್ತದೆ. ಕಾಯಿ ಉದುರುತ್ತದೆ. ಕೊಳೆತ ಕಾಯಿ ಹೂತುಹಾಕಿ. ಕಾಯಿಗೆ ಗಾಯವಾಗದಂತೆ ನೋಡಿ. ಮಳೆಗೂ ಮುನ್ನ ಬೋರ್ಡೋ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ.
ಹಲಸಿನ ಹಣ್ಣು,ಕಾಂಡ ಮತ್ತು ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಮಾರುಕಾ (Maruca),ಹುಳು ಹೂವಿನ ಮೊಗ್ಗು ಮತ್ತು ಎಳೆ ಕಾಯಿಗೆ ರಂಧ್ರ ಮಾಡುತ್ತದೆ. ಬಾಡಿದ ಚಿಗುರು ಕತ್ತರಿಸಿ. ಕಾಯಿಗೆ ಚೀಲ ಹಾಕಿ. ಬೆಳಕಿನ ಬಲೆ ಬಳಸಿ. ಹೊಸ ಚಿಗುರಿಗೆ ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಮಾವಿನ ಜಿಗಿಹುಳು  (ಕೀಟ ಬಾಧೆ),ಅಮ್ರಿಟೋಡಸ್ ಅಟ್ಕಿನ್ಸೋನಿ (Amritodus atkinsoni),ಹೂವಿನ ರಸ ಹೀರಿ ಜಿಗುಟಾದ ದ್ರವ ಬಿಡುತ್ತವೆ. ಇದರಿಂದ ಕಪ್ಪು ಮಸಿ ಬಂದು ಕಾಯಿ ಕಟ್ಟುವುದಿಲ್ಲ. ಹೂವಿನ ಗೊಂಚಲಿಗೆ ಜೋರಾಗಿ ನೀರು ಸಿಂಪಡಿಸಿ ತೊಳೆಯಿರಿ. ಬೆಳಿಗ್ಗೆ ವೇಳೆ ಮರದ ಅಡಿಯಲ್ಲಿ ಬೇವಿನ ಎಲೆ ಹೊಗೆ ಹಾಕಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ ಗ್ಲೋಯೋಸ್ಪೊರಿಯಾಯ್ಡ್ಸ್ (Colletotrichum gloeosporioides),ಕಾಯಿಯ ಮೇಲೆ ಕಪ್ಪು ತಗ್ಗು ಚುಕ್ಕೆ ಬಂದು ಕೊಳೆಯುತ್ತದೆ. ಬಿಸಿಲು ಬೀಳಲು ಮರ ಕತ್ತರಿಸಿ. ಹೂವು ಬಿಡುವಾಗ ಕಾಪರ್ ಆಕ್ಸಿಕ್ಲೋರೈಡ್ ಸಿಂಪಡಿಸಿ. ಕೊಯ್ಲಿನ ನಂತರ ಕಾಯಿಯನ್ನು ಬಿಸಿ ನೀರಿನಲ್ಲಿ (52 ಡಿಗ್ರಿ) 5 ನಿಮಿಷ ಅದ್ದಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಗೋಟ್ ಮೂತಿ ಹುಳು / ಸ್ಟೋನ್ ವೀವಿಲ್  (ಕೀಟ ಬಾಧೆ),ಸ್ಟೆನೋಚೇಟಸ್ ಮ್ಯಾಂಜಿಫೆರೆ (Sternochetus mangiferae),ಹುಳು ಕಾಯಿಯ ಒಳಗಿನ ಗೊರಟು (ಓಟೆ) ತಿನ್ನುತ್ತದೆ. ಹೊರಗೆ ಕಾಯಿ ಚೆನ್ನಾಗಿ ಕಂಡರೂ ಒಳಗೆ ಕೊಳೆತಿರುತ್ತದೆ. ಬಿದ್ದ ಕಾಯಿಗಳನ್ನು ನಾಶಪಡಿಸಿ. ಕಾಯಿ ಇಲ್ಲದಾಗ ಮರದ ಕಾಂಡಕ್ಕೆ ಕೀಟನಾಶಕ ಸಿಂಪಡಿಸಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಮಸಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕ್ಯಾಪ್ನೋಡಿಯಮ್ (Capnodium),ಕಾಯಿಯ ಮೇಲೆ ಕಪ್ಪು ಮಸಿ ಆವರಿಸುತ್ತದೆ. ಕೀಟಗಳ ಸ್ರಾವದಿಂದ ಇದು ಬರುತ್ತದೆ. ಕೀಟ ನಿಯಂತ್ರಿಸಿ. ಸಾಬೂನು ನೀರಿನಲ್ಲಿ ಕಾಯಿ ತೊಳೆದರೆ ಮಸಿ ಹೋಗುತ್ತದೆ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಬ್ಯಾಕ್ಟೀರಿಯಾ ಕ್ಯಾಂಕರ್  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ ಕ್ಯಾಂಪೆಸ್ಟ್ರಿಸ್ (Xanthomonas campestris),ಕಾಯಿಯ ಮೇಲೆ ನೀರು ಹೀರಿದ ಚುಕ್ಕೆ ಬಂದು ಅಂಟು ಒಸರುತ್ತದೆ. ಕಾಯಿ ಸೀಳುತ್ತದೆ. ಸೋಂಕಿತ ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಸ್ಟ್ರೆಪ್ಟೋಸೈಕ್ಲಿನ್ ಮತ್ತು ಕಾಪರ್ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ. ಗಾಳಿ ತಡೆ ಮರಗಳನ್ನು ಬೆಳೆಸಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಓಡಿಯಂ ಮ್ಯಾಂಜಿಫೆರೆ (Oidium mangiferae),ಹೂವು ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕಾಯಿ ಸಿಪ್ಪೆ ಒರಟಾಗುತ್ತದೆ. ಹೂವು ಬಿಡುವಾಗ ಗಂಧಕದ ಪುಡಿ ಧೂಳಿಸಿ. ಗಾಳಿ ಆಡುವಂತೆ ಮಾಡಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಕೆಂಪು ತುಕ್ಕು / ಪಾಚಿ  (ಪಾಚಿ),ಸೆಫಲೀಯುರೋಸ್ (Cephaleuros),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಕೆಂಪು ಮಚ್ಚೆ ಬರುತ್ತದೆ. ತೇವಾಂಶ ಕಡಿಮೆ ಮಾಡಲು ಕೊಂಬೆ ಕತ್ತರಿಸಿ. ಬೋರ್ಡೋ ಮಿಶ್ರಣ ಸಿಂಪಡಿಸಿ. ಮರಕ್ಕೆ ಗೊಬ್ಬರ ಕೊಡಿ.
ಕಾಡು ಮಾವು / ಅಪ್ಪೆಮಿಡಿ,ಹಣ್ಣು ನೊಣ  (ಕೀಟ ಬಾಧೆ),ಬ್ಯಾಕ್ಟ್ರೋಸೆರಾ ಡಾರ್ಸಾಲಿಸ್ (Bactrocera dorsalis),ಹುಳು ಕಾಯಿಯೊಳಗೆ ರಂಧ್ರ ಮಾಡಿ ತಿರುಳು ಕೊಳೆಸುತ್ತದೆ. ಕೊಯ್ಲಿಗೆ 2 ತಿಂಗಳು ಮುಂಚೆ ಮೀಥೈಲ್ ಯುಜಿನಾಲ್ ಬಲೆ ಹಾಕಿ. ಬಿದ್ದ ಕಾಯಿ ಹೂತುಹಾಕಿ. ಕಾಯಿ ಗಟ್ಟಿಯಿರುವಾಗಲೇ ಕೊಯ್ಲು ಮಾಡಿ.
ನವಿಲುಕೋಸು,ಗಂಟು ಬೇರು ರೋಗ / ಕ್ಲಬ್ ರೂಟ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪ್ಲಾಸ್ಮೋಡಿಯೋಫೊರಾ (Plasmodiophora),"ಗಿಡ ಹಗಲಿನಲ್ಲಿ ಬಾಡಿ ರಾತ್ರಿ ಚೇತರಿಸಿಕೊಳ್ಳುತ್ತದೆ. ಬೇರು ಊದಿಕೊಂಡು ನೀರು ಹೀರಲಾಗುವುದಿಲ್ಲ. ಮಣ್ಣು ಆಮ್ಲೀಯವಾಗಿದ್ದರೆ ಇದು ಹೆಚ್ಚು. ಮಣ್ಣಿಗೆ ಸುಣ್ಣ ಹಾಕಿ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ರೋಗ ಬಂದ ಜಾಗದಲ್ಲಿ 5 ವರ್ಷ ನವಿಲುಕೋಸು, ಎಲೆಕೋಸು ಬೆಳೆಯಬೇಡಿ."
ನವಿಲುಕೋಸು,ಮೃದು ಕೊಳೆತ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಪೆಕ್ಟೋಬ್ಯಾಕ್ಟೀರಿಯಂ (Pectobacterium),ಗಡ್ಡೆ ಮೆತ್ತಗಾಗಿ ಕೊಳೆತು ವಾಸನೆ ಬರುತ್ತದೆ. ಬಿರುಕು ಅಥವಾ ಗಾಯವಾದರೆ ಹೀಗಾಗುತ್ತದೆ. ಗಾಯವಾಗದಂತೆ ಕೊಯ್ಲು ಮಾಡಿ. ತಂಪಾದ ಜಾಗದಲ್ಲಿ ಶೇಖರಿಸಿ. ನೀರು ನಿಲ್ಲದಂತೆ ನೋಡಿ.
ನವಿಲುಕೋಸು,ಡೌನಿ ಮಿಲ್ಡ್ಯೂ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಪೆರೋನೊಸ್ಪೊರಾ (Peronospora),ಎಲೆ ಮೇಲೆ ನೇರಳೆ ಬೂಷ್ಟು ಬಂದು ಗಡ್ಡೆ ಸರಿಯಾಗಿ ಬೆಳೆಯುವುದಿಲ್ಲ. ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಗಿಡ ವಿರಳ ಮಾಡಿ. ಕಳೆ ತೆಗೆಯಿರಿ.
ನವಿಲುಕೋಸು,ಆಲ್ಟರ್ನೇರಿಯಾ ಎಲೆ ಚುಕ್ಕೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಆಲ್ಟರ್ನೇರಿಯಾ ಬ್ರಾಸಿಕೆ (Alternaria brassicae),ಎಲೆ ಮೇಲೆ ಕಂದು ಚುಕ್ಕೆ ಬಂದು ಗಡ್ಡೆ ಸಣ್ಣದಾಗುತ್ತದೆ. ಕ್ಲೋರೋಥಲೋನಿಲ್ ಸಿಂಪಡಿಸಿ. ಸೋಂಕಿತ ಎಲೆ ತೆಗೆಯಿರಿ.
ನವಿಲುಕೋಸು,ಮ್ಯಾಗಟ್ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಡೆಲಿಯಾ (Delia),ಹುಳು ಬೇರು ಮತ್ತು ಗಡ್ಡೆಯ ಬುಡದಲ್ಲಿ ಸುರಂಗ ಮಾಡಿ ಕೊಳೆಸುತ್ತದೆ. ಸಸಿಗೆ ಬಲೆ ಹೊದಿಕೆ ಹಾಕಿ. ಮಣ್ಣಿಗೆ ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ.
ನವಿಲುಕೋಸು,ಜಿಗಿಹೇನು / ಆಫಿಡ್ಸ್  (ಕೀಟ ಬಾಧೆ),ಲಿಪಾಪಿಸ್ ಎರಿಸಿನಿ (Lipaphis erysimi),ಕೀಟಗಳು ರಸ ಹೀರಿ ಎಲೆ ಮುದುರುತ್ತದೆ. ಜೋರಾಗಿ ನೀರು ಸಿಂಪಡಿಸಿ ಅಥವಾ ಸಾಬೂನು ನೀರು ಬಳಸಿ.
ನವಿಲುಕೋಸು,ಕಪ್ಪು ಕೊಳೆತ  (ಬ್ಯಾಕ್ಟೀರಿಯಾ ರೋಗ),ಕ್ಸಾಂಥೋಮೋನಾಸ್ (Xanthomonas),ಎಲೆ ನರ ಕಪ್ಪಾಗಿ ಗಡ್ಡೆಯ ಒಳಭಾಗ ಕಪ್ಪಾಗುತ್ತದೆ. ಬಿಸಿ ನೀರಿನಲ್ಲಿ ಉಪಚರಿಸಿದ ಬೀಜ ಬಳಸಿ. ಬೆಳೆ ಬದಲಿಸಿ. ಸ್ಪ್ರಿಂಕ್ಲರ್ ಬಳಸಬೇಡಿ.
ಅವರೆ,ಬೀನ್ ಮೊಸೈಕ್  (ವೈರಸ್ ರೋಗ),ಬೀನ್ ಮೊಸೈಕ್ ವೈರಸ್ (Bean mosaic virus),ಎಲೆ ಮಚ್ಚೆಯಾಗಿ ಕೆಳಗೆ ಮುದುರುತ್ತದೆ. ಕಾಯಿ ವಿರೂಪಗೊಳ್ಳುತ್ತದೆ. ರೋಗಮುಕ್ತ ಬೀಜ ಬಳಸಿ. ರೋಗ ಬಂದ ಗಿಡ ಕಿತ್ತು ಹಾಕಿ. ಜಿಗಿಹೇನು ನಿಯಂತ್ರಿಸಲು ಅಂಟು ಬಲೆ ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ.
ಅವರೆ,ಬಿಹಾರ ಕಂಬಳಿ ಹುಳು  (ಕೀಟ ಬಾಧೆ),ಸ್ಪೈಲೋಸೋಮಾ ಆಬ್ಲಿಕ್ವಾ (Spilosoma obliqua),ಕಿತ್ತಳೆ ಮತ್ತು ಕಪ್ಪು ಬಣ್ಣದ ಕೂದಲುಳ್ಳ ಹುಳು ಎಲೆ ತಿಂದು ಗಿಡ ಬೋಳಾಗಿಸುತ್ತದೆ. ಎಳೆಯ ಹುಳುಗಳಿರುವ ಎಲೆ ಕಿತ್ತು ನಾಶಪಡಿಸಿ. ಹೊಲದ ಸುತ್ತ ಕಂದಕ ತೋಡಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ.
ಅವರೆ,ಆಂಥ್ರಾಕ್ನೋಸ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಕೊಲೆಟೊಟ್ರೈಕಮ್ (Colletotrichum),ಕಾಯಿಯ ಮೇಲೆ ಕೆಂಪು ಅಂಚಿನ ತಗ್ಗು ಚುಕ್ಕೆ ಬರುತ್ತದೆ. ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಶುದ್ಧ ಬೀಜ ಬಳಸಿ.
ಅವರೆ,ತುಕ್ಕು ರೋಗ / ರಸ್ಟ್  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಯುರೋಮೈಸಸ್ (Uromyces),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಕಂದು ಬೊಕ್ಕೆ ಬರುತ್ತದೆ. ಗಂಧಕದ ಪುಡಿ ಧೂಳಿಸಿ. ಗಿಡ ವಿರಳ ಮಾಡಿ.
ಅವರೆ,ಹಳದಿ ಮೊಸೈಕ್  (ವೈರಸ್ ರೋಗ),ಯೆಲ್ಲೋ ಮೊಸೈಕ್ ವೈರಸ್ (Yellow mosaic virus),ಎಲೆ ಮೇಲೆ ಹಳದಿ ಮಚ್ಚೆ ಬಂದು ಕಾಯಿ ಕಡಿಮೆಯಾಗುತ್ತದೆ. ಬಿಳಿ ನೊಣ ನಿಯಂತ್ರಿಸಿ. ರೋಗ ಬಂದ ಗಿಡ ತೆಗೆಯಿರಿ.
ಅವರೆ,ಬೇರು ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫ್ಯುಸಾರಿಯಂ (Fusarium),ಬಳ್ಳಿ ಸಾಯುತ್ತದೆ ಮತ್ತು ಬೇರು ಕಪ್ಪಾಗುತ್ತದೆ. ನೀರು ನಿಲ್ಲದಂತೆ ಮಾಡಿ. ಬಿತ್ತನೆಗೆ ಮುನ್ನ ಟ್ರೈಕೋಡರ್ಮ ಬಳಸಿ.
ಅವರೆ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ (Erysiphe),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ನೆರಳು ಬೀಳದಂತೆ ನೋಡಿ.
ಅವರೆ,ಕಾಯಿ ಕೊರಕ  (ಕೀಟ ಬಾಧೆ),ಹೆಲಿಕೋವರ್ಪಾ (Helicoverpa),ಹುಳು ಚಪ್ಪಟೆ ಕಾಯಿಯೊಳಗೆ ಸೇರಿ ಬೀಜ ತಿನ್ನುತ್ತದೆ. ಕೈಯಿಂದ ಹುಳು ಆರಿಸಿ. ಬೇವಿನ ಎಣ್ಣೆ ಸಿಂಪಡಿಸಿ. ಮೋಹಕ ಬಲೆ ಬಳಸಿ.
ಬೆಂಡೆಕಾಯಿ,ಹಳದಿ ನರ ರೋಗ / ಮೊಸೈಕ್  (ವೈರಸ್ ರೋಗ),ಯೆಲ್ಲೋ ವೇನ್ ಮೊಸೈಕ್ ವೈರಸ್ (Yellow vein mosaic virus),ಕಾಯಿ ಬಿಳಿಚಿಕೊಂಡು ನಾರಾಗುತ್ತದೆ. ಎಲೆ ನರ ಹಳದಿಯಾಗುತ್ತದೆ. ರೋಗ ಬಂದ ಗಿಡ ಸುಟ್ಟುಹಾಕಿ. ಬಿಳಿ ನೊಣ ನಿಯಂತ್ರಿಸಲು ಹಳದಿ ಅಂಟು ಬಲೆ ಮತ್ತು ಬೇವಿನ ಎಣ್ಣೆ ಬಳಸಿ. ರೋಗ ನಿರೋಧಕ ತಳಿ (ಅರ್ಕಾ ಅನಾಮಿಕಾ) ಬಳಸಿ.
ಬೆಂಡೆಕಾಯಿ,ಬೂದಿ ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಎರಿಸೈಫಿ ಸಿಚೊರಸಿಯಾರಮ್ (Erysiphe cichoracearum),ಎಲೆ ಮತ್ತು ಕಾಯಿ ಮೇಲೆ ಬಿಳಿ ಪುಡಿ ಬರುತ್ತದೆ. ಕರಗುವ ಗಂಧಕ ಸಿಂಪಡಿಸಿ. ಕೆಳಗಿನ ಎಲೆ ಕತ್ತರಿಸಿ.
ಬೆಂಡೆಕಾಯಿ,ಸರ್ಕೋಸ್ಪೋರಾ ಎಲೆ ಚುಕ್ಕೆ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಸರ್ಕೋಸ್ಪೋರಾ ಅಬೆಲ್ಮಾಸ್ಕಿ (Cercospora abelmoschi),ಎಲೆ ಮೇಲೆ ಕಂದು ಚುಕ್ಕೆ ಬಂದು ಎಲೆ ಉದುರುತ್ತದೆ. ಮ್ಯಾಂಕೋಜೆಬ್ ಸಿಂಪಡಿಸಿ. ಕಳೆ ತೆಗೆಯಿರಿ.
ಬೆಂಡೆಕಾಯಿ,ಸೊರಗು ರೋಗ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫ್ಯುಸಾರಿಯಂ (Fusarium),ಗಿಡ ಹಳದಿಯಾಗಿ ಸಾಯುತ್ತದೆ. ಬೆಳೆ ಬದಲಾವಣೆ ಮಾಡಿ. ಮಣ್ಣಿಗೆ ಕಾರ್ಬೆಂಡಾಜಿಮ್ ಹಾಕಿ.
ಬೆಂಡೆಕಾಯಿ,ಬೇರು ಗಂಟು ನುಸಿ  (ಪರಾವಲಂಬಿ ಹುಳು),ಮೆಲೋಯಿಡೋಜೈನ್ (Meloidogyne),ಬೇರು ಗಂಟಾಗಿ ಗಿಡ ಕುಂಠಿತವಾಗುತ್ತದೆ. ಬೇಸಿಗೆಯಲ್ಲಿ ಮಣ್ಣಿಗೆ ಪ್ಲಾಸ್ಟಿಕ್ ಹೊದಿಸಿ. ಚೆಂಡು ಹೂವು ಬೆಳೆಸಿ. ಬೇವಿನ ಹಿಂಡಿ ಹಾಕಿ.
ಬೆಂಡೆಕಾಯಿ,ಕಾಯಿ ಕೊಳೆತ  (ಶಿಲೀಂಧ್ರ ರೋಗ),ಫೈಟೋಫthora (Phytophthora),ಮಳೆಗಾಲದಲ್ಲಿ ಕಾಯಿ ಕೊಳೆಯುತ್ತದೆ. ಬಲಿತ ಕಾಯಿ ಗಿಡದಲ್ಲಿ ಬಿಡಬೇಡಿ. ಮಳೆಯಿದ್ದರೆ ಕಾಪರ್ ಔಷಧ ಸಿಂಪಡಿಸಿ.
