Vegetable Common Name ,Disease Name (Type),Treatment Methods
Drumstick,Oleander Aphid (Insect Infestation),Yellow aphids cover the tender pods and suck sap. Spray soapy water or Neem oil. Encourage ladybugs.
Elephant Foot Yam,Leaf Spot (Fungal),"Irregular brown spots appear on the large umbrella-like leaves. In severe cases, the whole leaf turns yellow and collapses (""die-back""), stopping tuber growth. Treatment: Spray Mancozeb (2.5g/liter) or a copper fungicide if spots appear during the monsoon. Remove and burn the infected leaves immediately to save the rest of the plant."
Elephant Foot Yam,Mosaic Disease (Viral),Leaves show mosaic patterns and distortion. Tubers remain small. Treatment: Use virus-free seed tubers. Remove infected plants. Control aphids.
Elephant Foot Yam,Collar Rot (Fungal),The stem collapses at the soil line. The whole plant falls over. Treatment: Use healthy seed tubers. Treat tubers with cow-dung slurry mixed with Trichoderma before planting. Ensure soil is loose and well-drained.
Elephant Foot Yam,Collar Rot (Fungal Infection),The stem base rots and collapses; the infection travels down to rot the yam. Ensure drainage. Drench soil with Copper Oxychloride. Treat seed corms with Trichoderma before planting.
Elephant Foot Yam,Mosaic Virus (Viral Infection),Leaves show mosaic patterns; the corm becomes deformed and yields poorly. Use virus-free corms. Eradicate aphids. Remove infected plants.
Elephant Foot Yam,Dry Rot (Fungal Infection),"Stored yams turn dry, powdery, and light. Cure yams in the shade before storage. Store in a cool, ventilated place. Avoid bruising."
Elephant Foot Yam,Mealybugs (Insect Infestation),White masses on the corm surface in storage or soil. Dip seed corms in Dimethoate or soap solution before storage/planting.
Elephant Foot Yam,Scale Insects (Insect Infestation),Hard scales on the yam surface suck sap and cause shriveling. Scrub off before use. discard heavily infested corms.
Elephant Foot Yam,Root-Knot Nematode (Parasitic Infection),"Warty, bumpy surface on the corm. Rotate with trap crops. Apply plenty of organic matter (Neem cake) to the soil."
Elephant Foot Yam,Phytophthora Blight (Fungal Infection),"Leaves yellow; corms develop soft, wet rot. Spray Mancozeb. Prevent water stagnation in the field."
Fenugreek,Cercospora Leaf Spot (Fungal),"Circular sunken spots with halos appear on the leaves. The leaves turn yellow and fall off, leaving bare stems. Treatment: Since leaves are eaten, avoid harsh chemicals. Harvest greens early before the disease spreads. Spray Pseudomonas fluorescens (bio-agent). Ensure good spacing between plants."
Fenugreek,Powdery Mildew (Fungal Infection),"A white, flour-like dusting covers the leaves (Methi), causing them to yellow and dry out. This reduces the quality of the leafy greens significantly. To treat, dust the crop with sulfur powder or spray wettable sulfur. Since this fungus thrives in dry, cool weather, avoid overcrowding plants to ensure sunlight reaches lower leaves. If growing for greens, harvest early before the infection spreads to the whole patch."
Fenugreek,Cercospora Leaf Spot (Fungal Infection),"Circular, brown spots with grey centers appear on the leaves. These spots can merge, causing the edible leaves to drop or rot. To manage, remove heavily infected leaves by hand. Spray the crop with Neem oil or a mild fungicide like Carbendazim if the infestation is severe. Maintain field hygiene by clearing weeds. Avoid overhead watering to prevent splashing spores from leaf to leaf."
Fenugreek,Downy Mildew (Fungal Infection),"Yellowish patches appear on the upper surface of leaves, with a greyish-violet fungal growth on the undersides, making greens unusable. It flourishes in cool, damp weather. Restrict irrigation immediately if you spot this. Spray copper oxychloride to check the spread. Ensure proper drainage in your field or pots, as waterlogging makes this worse. Remove and destroy infected plant debris after harvest."
Fenugreek,Aphid Infestation (Insect Infestation),"Tiny green or black insects cluster on the undersides of leaves, sucking sap and causing curling. They leave sticky honeydew that attracts mold. Wash them off with a strong water spray. Apply a solution of insecticidal soap or Neem oil (5ml/liter) in the evening. If harvesting for immediate consumption, simply washing the leaves thoroughly in salt water will remove the pests effectively without chemicals."
Fenugreek,Root/Stem Rot (Fungal Infection),"The base of the stem rots, causing the entire edible leafy shoot to collapse and turn mushy. This is common in wet, heavy soils. Prevention is the main cure: treat seeds with Trichoderma viride before sowing. Do not overwater. If rot appears, drench the soil around remaining healthy plants with a copper fungicide. Rotate with cereals for the next season to clear the soil."
French Bean,Angular Leaf Spot (Fungal),"Brown, angular spots (shaped like squares/triangles) appear on leaves and pods. Treatment: The spots are limited by leaf veins. Avoid overhead sprinklers. Remove infected residues from the field. Rotate with corn or millets. Spray a copper-based fungicide."
French Bean,Anthracnose (Fungal Infection),"Dark, sunken, circular spots with reddish or pinkish borders appear on the pods, making them inedible. It spreads fast in cool, rainy weather. Use certified disease-free seeds. If infection starts, spray Carbendazim or Mancozeb immediately. Avoid working in the bean patch when the leaves are wet to prevent spreading spores. Remove all plant debris after harvest and burn it. Rotate crops every 2-3 years."
French Bean,Bacterial Blight (Bacterial Infection),"Water-soaked spots appear on the pods, which later turn brick-red or brown. This makes the pods unsellable and prone to rotting. Avoid overhead sprinkling; use furrow or drip irrigation to keep pods dry. Spray copper-based fungicides like Copper Oxychloride to protect healthy plants. Remove infected plants carefully. Use seeds treated with antibiotics (Streptocycline) if growing in an area prone to blight."
French Bean,White Mold / Cottony Rot (Fungal Infection),"A white, fluffy mold develops on the pods, especially those near the soil or in dense clusters. The pods turn into a soft, watery mush. To control, increase spacing between plants to lower humidity. Remove infected pods carefully to strictly avoid dropping fungal sclerotia (seeds) into the soil. Apply a fungicide like Carbendazim during flowering if the weather is continuously wet and humid."
French Bean,Pod Borer (Insect Infestation),"Caterpillars bore round holes into the pods and eat the seeds inside. You will see droppings near the holes. Handpick larvae if the garden is small. Install pheromone traps to catch adult moths. Spray Bacillus thuringiensis (Bt) or Neem oil as a safe biological control. If chemical control is needed, use Indoxacarb but wait for the safety period before harvesting."
French Bean,Rust (Fungal Infection),"Reddish-brown powdery pustules form on the pods, making them rough and visually unappealing. Heavily infected pods may dry up. Dust the plants with sulfur powder or spray wettable sulfur. Space plants widely to allow air circulation, which keeps the foliage and pods dry. Remove the first few infected leaves/pods you see to slow the spread. Clean up all fallen leaves."
Garlic,Blue Mold (Fungal),"Soft, watery rot appears on the cloves, followed by blue-green powdery mold. This usually happens during storage or transport. Treatment: Cure the bulbs thoroughly (dry them in shade for 2 weeks) before storing. Do not store in plastic bags; use mesh bags or open racks. Avoid bruising the bulbs during harvest."
Garlic,Purple Blotch (Fungal Infection),"While starting on leaves, this infection travels down, causing the bulb to remain small, shriveled, and spongy. Spindle-shaped lesions appear on the neck. Spray Mancozeb or Chlorothalonil mixed with a soap sticker. Ensure good drainage. Harvest only when the tops have fully dried down (""cured"") to prevent the fungus from entering the bulb during storage."
Garlic,Blue Mold Rot (Fungal Infection),"This is a storage disease where blue-green fuzzy mold develops on the bulb, usually starting at bruises or the cut neck. To prevent this, handle the bulbs gently during harvest to avoid skin damage. ""Cure"" the garlic by drying it in a shaded, airy spot for 2 weeks before storage. Store in a cool, low-humidity area. Discard moldy bulbs immediately."
Garlic,Bulb Mite (Arachnid Infestation),"These tiny pests feed on the bulb roots and base, causing the bulb to rot or fail to develop cloves. They also open the door for other fungi. Treat seed cloves with a hot water bath (50°C for 10-15 mins) before planting. If the soil is infested, solarize it during summer. Avoid planting garlic in the same spot year after year."
Garlic,White Rot (Fungal Infection),"The base of the bulb becomes covered in white, fluffy mold with small black specks (sclerotia). The bulb rots completely in the ground. There is no cure for infected plants; remove and destroy them immediately. Do not compost them. The only prevention is long-term crop rotation (5+ years) and using certified clean seed cloves. Dipping cloves in hot water before planting helps reduce risk."
Garlic,Botrytis Neck Rot (Fungal Infection),"This affects the neck of the bulb, turning it soft, mushy, and grey, eventually rotting the whole bulb during storage. It enters through the cut stem if the plant wasn't cured properly. To prevent, ensure the neck is completely dry and tight before cutting the tops off. Do not apply nitrogen fertilizer late in the season. Store onions and garlic in single layers with good airflow."
Geru Beeja,Tea Mosquito Bug (Insect),Major Pest: A reddish-brown bug sucks sap from the tender nut and apple. The young nut turns black and dries up. Treatment: This bug is active during the cool hours (morning/evening). Spray Neem oil (3%) or a garlic-pepper spray early in the morning. encourage red ants (weaver ants) in the orchard as they are natural enemies of this bug.
Geru Beeja,Cashew Stem Borer (Insect Larvae),"The tree trunk shows oozing gum and ""frass"" (sawdust). The leaves turn yellow, and the tree may die. Treatment: Inspect the trunk base for holes. Carefully chisel out the bark to find and kill the grub. Swab the trunk with a mix of coal tar and kerosene (or neem oil paste) to prevent egg-laying."
Geru Beeja,Tea Mosquito Bug (Insect Infestation),"This is the primary enemy of the nut. The bug sucks sap from the young tender nuts (apples), causing them to shrivel, turn black, and fall off (a condition called ""blight""). Spray Lambda-cyhalothrin or Neem oil early in the morning. Three rounds of spraying—at flushing, flowering, and fruit setting—are standard to protect the harvest. Remove alternate host plants like Neem or Guava from nearby."
Geru Beeja,Anthracnose (Fungal Infection),"Reddish-brown, sunken spots appear on the developing nut and apple. The affected nuts shrivel, rot, and drop prematurely. It is severe during the monsoon. Prune dead branches to open the canopy. Spray Bordeaux mixture (1%) or Copper Oxychloride just before the flowering season starts. Collect and burn all fallen, infected nuts to reduce the spore load in the orchard."
Geru Beeja,Cashew Apple and Nut Borer (Insect Infestation),"Larvae bore into the apple and the developing nut, causing internal decay and frass accumulation. The damaged nuts often drop early. Collect and destroy all fallen, infested nuts immediately to break the lifecycle. Clean cultivation (removing weeds) helps. If infestation is high, spray a safe insecticide like Quinolphos during the early fruit-setting stage, but be careful of pollinators."
Geru Beeja,Powdery Mildew (Fungal Infection),"A white powdery growth covers the young nuts and apples, causing the skin to crack and the fruit to dry up or become corky. This happens mostly during dry, cloudy weather. Dust the trees with sulfur powder or spray wettable sulfur (0.2%) during the fruit-setting stage. Since this affects the nut quality directly, timely spraying is crucial."
Geru Beeja,Kernel Rot (Physiological/Fungal),"The internal kernel turns black or brown and rotten, even if the shell looks okay. This is often due to harvesting immature nuts or improper drying. Harvest only fully mature nuts (when the apple falls). Dry the nuts on a clean floor for 2-3 days until the moisture content drops to 8-9%. Do not leave nuts on the wet ground for long periods during harvest."
Gherkins,Downy Mildew (Fungal),"Yellow, angular spots appear on the upper leaf surface, with purple/grey fuzz on the underside. The vine dies rapidly. Treatment: This is an export crop in Karnataka, so quality is key. Avoid overhead sprinklers. Trellis the vines to increase airflow. Remove infected leaves instantly. Spray mild copper fungicides or phosphonates if the weather is cloudy and wet."
Gherkins,Fruit Borer (Insect Larvae),"Larvae bore into the tiny fruits, making them unfit for pickling/export. Treatment: Install pheromone traps (specifically for Diaphania moths). Inspect the crop daily. Since gherkins are harvested every day, use safe bio-sprays like Bt (Bacillus thuringiensis) that don't leave toxic residues on the fruit."
Ginger,Shoot Borer (Insect Larvae),"Larvae bore into the central shoot, causing it to turn yellow and dry up (""Dead Heart""). Treatment: Cut open the yellowed shoot to find and kill the larva. Spray Neem oil (0.5%) at fortnightly intervals during the shoot development stage (July-August)."
Ginger,Bacterial Wilt (Bacterial),The plant wilts suddenly while still green. Treatment: Distinct from fungal rot. There is no cure. Remove the plant and soil around it. Do not replant ginger in that spot. Use raised beds to prevent water stagnation.
Ginger,Soft Rot (Fungal),The collar region becomes watery and soft. shoots can be pulled out easily. Treatment: Treat seed rhizomes with Trichoderma. Drench soil with copper oxychloride if rot starts.
Gongura,Stem Rot (Fungal),Major Issue in Andhra. The base of the stem turns black and rots near the soil line. The plant suddenly wilts and topples over. Treatment: This occurs in waterlogged heavy soils (black cotton soil). Improve field drainage; do not let water stand. Drench the soil with Copper Oxychloride or Trichoderma. Rotate crops; do not plant Gongura in the same spot every year.
Gongura,Stem/Foot Rot (Fungal),The base of the stem turns black and rots. The plant topples over. Treatment: This occurs in waterlogged heavy soils (black cotton soil). Improve drainage. Drench the soil with Copper Oxychloride or Trichoderma. Rotate crops; do not plant Gongura in the same spot every year.
Green Mung Bean,Yellow Mosaic Virus (Viral),Bright yellow patches appear on the leaves interspersed with green. Pods remain small and yellow. Treatment: Remove and destroy infected plants immediately. The virus is spread by Whiteflies. Control them using yellow sticky traps and neem oil sprays. Keep the field weed-free.
Green Mung Bean,Powdery Mildew (Fungal),Greyish-white powder covers the leaves and pods. The plant dries up early. Treatment: Spray sulphur powder or a solution of wet milk (1:10 ratio) on the crop. This usually strikes when the weather turns dry and cool after rains.
Green Pepper,Pollu Beetle (Insect),"The beetle hollows out the green berries (peppercorns), leaving them empty and black. Treatment: Regulate shade in the plantation (too much shade favors the beetle). Spray Neem-based insecticides on the spikes (berries) when they are young and tender."
Groundnut,Stem Rot / White Mold (Fungal),"A white, cottony fungal growth appears on the stem near the soil line. The plant wilts and dies. Treatment: This fungus survives in the soil. Deep plow in summer to expose it to the sun. Apply Trichoderma (bio-fungicide) enriched manure to the soil."
Heggenasu,Anthracnose (Fungal),"Black spots appear on the leaves and stems. The vine looks ""scorched"" or burnt and dies back rapidly. Treatment: This is the most destructive disease for this yam. Plant early so the vine matures before the peak monsoon. Use resistant local varieties. Dip seed tubers in a solution of cow dung slurry and Trichoderma before planting."
Heralekayi,Canker (Bacterial),"Brown, corky, raised rough spots appear on the fruit skin and leaves. Treatment: Prune infected twigs before the monsoon. Spray a copper-based fungicide (like Bordeaux mixture) on the new leaves and young fruits. Avoid overhead watering. The fruit inside is usually safe to use for pickling even if the skin is rough."
Heralekayi,Leaf Miner (Insect Larvae),"Silvery, snake-like trails appear on the young tender leaves, causing them to curl. Treatment: This only attacks new growth. Pinch off and destroy the curled leaves. Spray Neem oil (10,000 ppm) on the fresh flush of leaves to deter the moth from laying eggs."
Horse Gram,Yellow Mosaic Virus (Viral),"Bright yellow patches appear on the leaves, while the veins remain green. The plants produce very few pods. Treatment: This is the most common issue for Huruli. There is no cure for the plant. Remove infected plants immediately. The virus is spread by Whiteflies. Control them by placing yellow sticky traps (10 per acre) and spraying neem oil early in the season."
Horse Gram,Root Rot (Fungal),"The plant suddenly wilts and dries up in patches across the field. If you pull it up, the roots are black and decaying. Treatment: This usually happens if there is standing water. Improve field drainage. Treat seeds with Trichoderma (bio-fungicide) before sowing. Practice crop rotation; do not plant horse gram in the same field continuously."
Ivy Gourd,Stem Gall (Insect/Fungal),Swellings or galls appear on the main stem. Treatment: Earth up soil around nodes to encourage new roots. Apply neem cake. Remove affected plant if it wilts completely.
Jackfruit,Rhizopus Fruit Rot (Fungal),"Soft, watery brown spots appear on the young jackfruit, which soon get covered in a grey-black hairy mold. The fruit rots and falls. Treatment: This spreads rapidly in humid weather. Remove and bury any rotting fruit immediately. Avoid injuring the fruit skin during maintenance. Spray a copper-based fungicide (like Bordeaux mixture) on young fruits before the rains start."
Jackfruit,Shoot and Fruit Borer (Insect Larvae),"Caterpillars bore into the tender shoots and flower buds, causing them to dry up. They also tunnel into the fruit, making it rot. Treatment: Prune and burn the wilted shoots where larvae hide. Cover developing fruits with bags if possible. Light traps can catch adult moths. Spray neem oil on tender shoots during the new flush season."
Kaadu Mavu,Mango Hopper (Insect),"Tiny insects suck sap from the flower spikes. Sticky ""honeydew"" falls on leaves, turning them black (sooty mold). Fruits fail to set. Treatment: This is critical for Appemidi. Spray a strong jet of water on the flowers to wash off the sticky gum. Smoke the tree by burning neem leaves underneath in the early morning to drive away the hoppers."
Kaadu Mavu,Anthracnose (Fungal Infection),"Black, sunken spots appear on the fruit skin, often leading to deep rot as the fruit ripens. It also causes ""tear staining."" Prune the tree to open the canopy to sunlight. Spray Copper Oxychloride before flowering and again during fruit set. Dip harvested fruits in hot water (52°C) for 5 minutes to kill surface fungus before storage."
Kaadu Mavu,Stone Weevil (Insect Infestation),The grub bores through the pulp and eats the seed (stone) from the inside. The fruit looks normal outside but rots from within. Collect all fallen fruits and destroy them. Spray Deltamethrin on the trunk during the off-season to kill hiding adults. There is no cure for an infested fruit; prevention is the only key.
Kaadu Mavu,Sooty Mold (Fungal Infection),"A black, velvety coating covers the fruit surface, making it look dirty and unmarketable. It grows on the sticky honeydew left by hoppers and scale insects. Control the insects first with Neem oil. Wash the harvested fruit with a mild soap solution and a soft cloth to remove the black layer; the fruit inside remains edible."
Kaadu Mavu,Bacterial Canker (Bacterial Infection),"Water-soaked spots on the fruit burst and release a gummy ooze. The fruit cracks and drops. This is severe in windy, wet areas. Prune infected twigs. Spray Streptocycline (antibiotic) mixed with Copper fungicide. Use windbreaks to prevent fruit abrasion, which allows bacteria to enter."
Kaadu Mavu,Powdery Mildew (Fungal Infection),"While mostly on flowers, it can cause young fruits to drop or develop russeted, scabby skin. Dust sulfur powder on the tree during flowering. Ensure good air circulation. If the fruit skin is affected, it is still edible but looks rough; peel it before eating."
Kaadu Mavu,Red Rust (Algal Infection),"Rusty red spots appear on the leaves and sometimes on the fruit surface, reducing vigor. It is caused by an alga, not a fungus. Prune the tree to reduce humidity. Spray Bordeaux mixture or copper fungicides. Ensure the tree gets adequate nutrition to fight off the infection."
Kaadu Mavu ,Mango Fruit Fly (Insect Infestation),"Maggots bore into the semi-ripe fruit, turning the flesh into a liquid, rotting mush. This is the biggest threat. Set up pheromone traps (Methyl Eugenol) 2 months before harvest. Collect and bury all fallen fruits deep in the soil. Harvest fruits while they are mature but green (before they soften) to avoid the peak infestation window."
Knol Khol,Clubroot (Fungal),"Plants wilt during the day and recover at night. Roots become swollen, club-like, and deformed, unable to absorb water. Treatment: This fungus thrives in acidic soil. Add lime to the soil to raise the pH. Improve drainage. Do not plant Knol Khol, Cabbage, or Cauliflower in the infected spot for at least 5 years."
Knol Khol,Soft Rot (Bacterial Infection),"The fleshy tuber turns into a soft, watery, smelly mush. It often enters through growth cracks or insect wounds. Harvest carefully to avoid bruises. Store in a cool, dry place. Ensure soil drains well, as waterlogging promotes this rot."
Knol Khol,Clubroot (Fungal Infection),"The roots swell and deform, preventing the tuber from developing properly. The plant stunts. Apply lime to raise soil pH above 7.0. Solarize the soil. Do not plant Knol Khol in infected fields for at least 5 years."
Knol Khol,Downy Mildew (Fungal Infection),Purplish-grey mold on leaves leads to poor tuber development and internal discoloration. Spray Mancozeb. Avoid overcrowding plants. Remove weeds that block airflow.
Knol Khol,Alternaria Leaf Spot (Fungal Infection),"Brown concentric spots on leaves reduce photosynthesis, leading to small, woody tubers. Spray Chlorothalonil. Remove infected leaves."
Knol Khol,Cabbage Maggot (Insect Infestation),"Maggots tunnel into the root and base of the tuber, causing rot and wilting. Use floating row covers. Apply Neem cake to the soil."
Knol Khol,Aphids (Insect Infestation),"Large colonies suck sap, causing the tuber to be small and the leaves to curl. Wash off with water spray. Use insecticidal soap."
Knol Khol ,Black Rot (Bacterial Infection),"The veins of the leaves turn black, and the infection travels down into the edible stem tuber, causing internal blackening. Use hot-water treated seeds. Rotate crops; do not plant where cabbage grew recently. Remove infected plants immediately. Avoid sprinkler irrigation to keep the plant dry."
Lablab,Bean Common Mosaic Virus (Viral),Leaves show a patchwork of dark and light green. The leaves pucker and curl downwards. Pods are deformed. Treatment: Use virus-free seeds. Remove infected plants immediately. Control Aphids (which spread the virus) using sticky traps and Neem oil sprays.
Lablab,Bihar Hairy Caterpillar (Insect Larvae),Entire crop can be defoliated (stripped of leaves) by these hairy orange/black caterpillars in days. Treatment: They feed in groups when young. Pick the single leaf with the cluster of young caterpillars and destroy it. Dig a trench around the field to stop them from migrating. Spray Neem oil or Bt (Bacillus thuringiensis).
Lablab,Anthracnose (Fungal Infection),"Round, sunken spots with red borders on pods. Seeds rot inside. Spray Mancozeb. Use disease-free seeds. Remove infected debris."
Lablab,Aphids (Insect Infestation),"Black aphids cover the vines and pods, making them sticky and sooty. Spray soapy water. Encourage ladybugs."
Lablab,Rust (Fungal Infection),Brown pustules on leaves and pods. Dust sulfur. Remove crop residues. Space plants for airflow.
Lablab,Yellow Mosaic Virus (Viral Infection),Bright yellow patches on leaves; pods are deformed and few. Control whiteflies. Remove infected plants.
Lablab,Root Rot (Fungal Infection),Vines wilt and die. Roots are black. Improve drainage. Treat seeds with Trichoderma.
Lablab,Powdery Mildew (Fungal Infection),White powder on pods and leaves. Spray wettable sulfur. Avoid shade.
Lablab ,Pod Borer (Insect Infestation),Larvae bore into the flat pods and eat the fresh seeds. Handpick damaged pods. Spray Neem oil or Indoxacarb. Install pheromone traps.
Ladies Finger,Yellow Vein Mosaic (Viral),"While systemic, this virus turns pods small, pale, fibrous, and tough. The virus is spread by whiteflies. There is no cure for the plant; remove and burn it to stop the spread. Control whiteflies using yellow sticky traps and neem oil sprays. Plant resistant varieties like ""Arka Anamika."" Keep the garden weed-free as weeds often host the virus."
Ladies Finger,Yellow Vein Mosaic Virus (Viral Infection),"Veins turn yellow; fruits become pale, hard, fibrous, and small. Remove infected plants instantly. Control whiteflies with sticky traps/Neem oil. Use resistant varieties (e.g., Arka Anamika)."
Ladies Finger,Powdery Mildew (Fungal Infection),White powder on leaves and pods; pods look dirty and dry. Spray wettable sulfur. Prune lower leaves.
Ladies Finger,Cercospora Leaf Spot (Fungal Infection),Brown spots on leaves cause defoliation and poor fruit yield. Spray Mancozeb. Remove weeds.
Ladies Finger,Fusarium Wilt (Fungal Infection),Plants yellow and die; vascular system turns brown. Rotate crops. Soil drench with Carbendazim.
Ladies Finger,Root-Knot Nematode (Parasitic Infection),Galls on roots; plants stunt; low yield. Solarize soil. Rotate with marigolds. Apply Neem cake.
Ladies Finger,Fruit Rot (Fungal Infection),Pods rot during wet weather. Pick fruits regularly (don't let them over-mature). Spray copper fungicide if raining.
Ladies Finger ,Shoot and Fruit Borer (Insect Infestation),"Larvae bore into the fruit, leaving holes and frass. The pod becomes distorted and inedible. Remove and destroy infested shoots/fruits. Spray Neem oil or Spinosad. Use pheromone traps."
Lesser Yam,Yam Beetle (Insect),"Adult beetles bore into the tubers in the ground, making large circular holes that rot. Treatment: Dust wood ash or apply Neem cake to the planting pit. Do not plant yams in the same spot for 3 years. Mulch the soil heavily to make it harder for beetles to dig down."
Lesser Yam,Anthracnose (Fungal Infection),Leaves burn and die back; tubers stop growing. Spray Mancozeb. Plant early to avoid peak monsoon infection.
Lesser Yam,Yam Mosaic Virus (Viral Infection),Leaves show mosaic patterns; tubers are small. Use virus-free seed tubers. Control aphids.
Lesser Yam,Tuber Rot (Fungal Infection),Tubers rot in storage. Cure tubers in shade. Store in well-ventilated racks. Avoid bruising.
Lesser Yam,Nematodes (Parasitic Infection),Cracks and galls on tuber skin. Use clean seed. Hot water treatment (50°C) for seed tubers.
Lesser Yam,Scale Insects (Insect Infestation),"Scales on stored tubers suck sap, causing shriveling. Dip tubers in soap solution before storage."
Lesser Yam,Mealybugs (Insect Infestation),White powdery bugs on tubers. Clean tubers before storage.
Lesser Yam,Leaf Spot (Fungal Infection),Brown spots reduce leaf area. Spray Carbendazim.
Lima Bean,Pod Blight (Fungal),"Common in Ooty/Kodaikanal/Chikmagalur. Pods turn brown and dry up prematurely. Seeds inside become shriveled. Treatment: This happens in cool, misty weather. Improve airflow by spacing plants widely. Spray a mild fungicide like Mancozeb (2g/liter) during the flowering stage. Remove infected pods immediately."
Lima Bean,Aphids (Insect),"Clusters of black insects attack the young shoots and pods, sucking sap and causing the plant to curl. Treatment: Spray a strong jet of water to wash them off. Use insecticidal soap or neem oil. Encourage ladybug beetles in the garden."
Lima Bean,Pod Blight (Fungal Infection),Pods turn brown and rot. Spray Copper Oxychloride. Improve spacing.
Lima Bean,Anthracnose (Fungal Infection),Sunken spots on pods. Use clean seed. Spray Mancozeb.
Lima Bean,Rust (Fungal Infection),Red pustules on leaves/pods. Dust sulfur.
Lima Bean,Mosaic Virus (Viral Infection),"Mottled, deformed pods. Remove plants. Control aphids."
Lima Bean,Pod Borer (Insect Infestation),Holes in pods. Spray Neem oil. Handpick.
Lima Bean,Root Rot (Fungal Infection),Plants wilt. Improve drainage. Treat seeds.
Lima Bean,Powdery Mildew (Fungal Infection),White dust on pods. Spray sulfur.
Little Gourd,Anthracnose (Fungal),"Small, dark, sunken spots appear on the fruits and stems. In wet weather, pinkish spores may form. Treatment: Prune the vines heavily to reduce humidity inside the trellis. Remove and destroy infected fruits. Spray Pseudomonas fluorescens (bio-fungicide) or neem oil."
Little Gourd,Mites (Arachnid),"Leaves turn reddish-brown and look ""scorched."" Tiny webs may be seen. Treatment: Mites thrive in hot, dry weather. Spray water forcefully to wash them off. Apply wettable sulphur (2g/liter)."
Little Gourd,Powdery Mildew (Fungal Infection),White powder on vines/fruit. Spray wettable sulfur. Prune dense vines.
Little Gourd,Anthracnose (Fungal Infection),Dark spots on fruit. Spray Mancozeb.
Little Gourd,Mosaic Virus (Viral Infection),"Lumpy, mottled fruits. Remove vines. Control aphids."
Little Gourd,Fruit Borer (Insect Infestation),Larvae eat fruit. Spray Neem oil.
Little Gourd,Downy Mildew (Fungal Infection),Yellow spots on leaves; poor fruit set. Spray Metalaxyl.
Little Gourd,Root-Knot Nematode (Parasitic Infection),Galls on roots; low yield. Apply Neem cake.
Little Gourd ,Fruit Fly (Insect Infestation),Maggots rot the fruit. Use Cue-lure traps. Bag fruits. Harvest frequently.
Malabar Cucumber,Fruit Fly (Insect Larvae),"This large, yellow cucumber is a magnet for fruit flies. Maggots turn the inside into mush. Treatment: Unlike salad cucumbers, these have thick skin, but flies still pierce them. Cover the fruit with a cloth bag or newspaper as soon as the flower drops. Use pheromone traps. Harvest as soon as the colour begins to change to yellow; do not leave it on the vine too long."
Malabar Cucumber,Powdery Mildew (Fungal),"White dusty patches cover the large leaves, killing the vine before fruits mature. Treatment: This variety is often grown on the ground, making it susceptible. Try to grow on a trellis or use mulch (dry straw) to prevent leaves from touching soil. Spray wettable sulphur or a milk-water mix."
Malabar Cucumber,Fruit Fly (Insect Infestation),Maggots cause rotting and bending. Trap males. Bag fruits. Destroy fallen ones.
Malabar Cucumber,Downy Mildew (Fungal Infection),Yellow leaf spots; fruit sunscalds or stays small. Spray Mancozeb.
Malabar Cucumber,Powdery Mildew (Fungal Infection),White powder; fruits dry up. Spray sulfur.
Malabar Cucumber,Mosaic Virus (Viral Infection),"""Warty"" deformed fruits. Remove plants. Control vectors."
Malabar Cucumber,Anthracnose (Fungal Infection),Sunken pinkish spots on fruit. Spray Copper fungicide.
Malabar Cucumber,Gummy Stem Blight (Fungal Infection),Black rot on fruit; gum on stem. Rotate crops. Spray Chlorothalonil.
Malabar Cucumber,Belly Rot (Fungal Infection),Underside rots on soil. Mulch or trellis.
Malabar Spinach,Cercospora Leaf Spot (Fungal),"Round, reddish-purple spots with a pale center appear on the thick leaves. Makes the leaves look unappetizing. Treatment: Basale is very hardy, but this happens in high humidity. Remove the infected leaves (don't eat them). Improve airflow by training vines properly. Avoid wetting the leaves when watering."
Malabar Spinach,Leaf Spot (Fungal),"Round, reddish-purple spots with a pale center appear on the thick leaves. Treatment: Remove the infected leaves (do not eat them). Improve airflow by training vines properly. Avoid wetting the leaves when watering in the evening."
Malabar Spinach,Cercospora Leaf Spot (Fungal Infection),Red/purple spots with pale centers on the edible leaves. Pick off infected leaves. Spray Neem oil. Avoid overhead watering.
Malabar Spinach,Rust (Fungal Infection),Orange/yellow pustules on leaves. Remove bad leaves. Dust sulfur (wash well before eating).
Malabar Spinach,Root-Knot Nematode (Parasitic Infection),Roots have galls; plant stunts. Solarize soil. Rotate crops.
Malabar Spinach,Stem Rot (Fungal Infection),Stem rots at soil line. Improve drainage. Do not overwater.
Malabar Spinach,Leaf Miner (Insect Infestation),Trails in leaves. Remove leaves. Spray Neem oil.
Malabar Spinach,Woolly Aphid (Insect Infestation),White fuzzy insects on stems. Wash off. Spray soap solution.
Malabar Spinach,Alternaria Blight (Fungal Infection),Brown irregular spots. Remove leaves. Ensure airflow.
Mangalore Southekayi,Fruit Fly (Insect Larvae),"Maggots bore into the large yellow fruit, causing soft rot. Treatment: Since this cucumber is often left on the vine to mature fully (turn yellow/orange), it is exposed for a long time. Cover the fruit with a cloth bag or newspaper once it reaches the size of a fist. Use pheromone traps."
