Fruit Common Name ,Disease Name (Type),Treatment Methods
Paddy,Glume Blight (Phoma / Dirty Glumes),"Apply potash fertilizer to strengthen the grain covering and improve resistance. When grains are in the milky stage, spray Carbendazim @ 1 g per liter or Mancozeb @ 2 g per liter. Avoid excessive moisture in the field and ensure good air circulation. Balanced nutrition and timely spraying help keep grains clean and market-ready."
Paddy,Stem Rot – Grain Stage (Kanda Kuhl),"Before planting, apply neem cake to the soil to reduce fungus buildup. If stems start weakening or rotting during grain stage, spray Hexaconazole @ 2 ml per liter, focusing on the base of the plant and panicles. Avoid excess nitrogen fertilizer and maintain proper drainage to stop disease spread and lodging."
Paddy,Panicle Blast (Gardan Tod / Neck Blast),"Once the panicle starts emerging, stop applying urea, as too much nitrogen increases blast damage. Spray Tricyclazole @ 0.6 g per liter of water at early symptom stage. This protects the neck of the panicle from breaking. Timely spray and balanced fertilizer use are very important to save yield."
Peach,Brown Rot,"This is the most destructive disease where the fruit turns soft, brown, and gets covered in tufts of grey powdery fungus. The whole fruit rots quickly and may dry up (mummify) on the tree. To control this, you must remove and burn all dried ""mummy"" fruits remaining on the tree during winter. Spray Captan @ 2 grams per liter or Tebuconazole @ 1 ml per liter during the pink bud stage and again 2-3 weeks before harvest to protect the ripening fruit."
Peach,Peach Scab (Black Spot),"Small, round, velvet-black spots (freckles) appear on the fruit skin, mostly near the stem. In severe cases, these spots merge, forming large black patches that cause the fruit skin to crack. Prune the tree to open the center so sunlight reaches all fruits, as this fungus loves shade. Spray Wettable Sulphur @ 2 grams per liter or Captan @ 2 grams per liter starting two weeks after petals fall. Repeat every 10-14 days until the fruit is half-grown."
Peach,Bacterial Spot (Bacteriosis),"Small, angular, purple-black spots appear on the fruit, causing deep pits or cracks. Sticky gum often oozes out from these wounds. This is very hard to cure once it starts. The best solution is to plant resistant varieties. Spray Copper Oxychloride @ 3 grams per liter or Oxytetracycline during the early growing season, but be careful as Copper can burn peach leaves; use it only when recommended for your area."
Peach,Rhizopus Rot (Leak / Soft Rot),"This rot attacks ripe fruits during harvest or storage. The fruit turns very soft, watery, and leaks liquid. It gets covered in a fluffy white mold with tiny black dots. This fungus enters only through cuts and bruises. Handle peaches like eggs during harvest; do not drop or squeeze them. Cool the fruits immediately after picking. Clean the packing crates with bleach solution."
Peach,Anthracnose,"Circular, sunken brown spots appear on the fruit skin. In wet weather, you might see sticky, salmon-pink colored spores in the center of the spots. The fruit eventually rots. Remove wild plum or neglected fruit trees near your orchard as they carry this fungus. Spray Captan @ 2 grams per liter or Propiconazole @ 1 ml per liter during the fruit development stage, especially if the weather is warm and rainy."
Peach,Powdery Mildew (Rusty Spot),"White, powdery patches appear on young fruits. As the fruit grows, these spots turn into hard, russeted (rusty-brown) patches or net-like patterns on the skin. The fruit does not rot but looks bad and sells for less. Prune the tree to reduce humidity. Spray Wettable Sulphur @ 2 grams per liter or Myclobutanil @ 0.5 ml per liter when the fruit shucks (coverings) start splitting off."
Peach,Plum Curculio (Worm Damage),"A small beetle cuts a crescent-shaped (half-moon) mark on the fruit skin to lay eggs. The grub (worm) eats inside, causing the fruit to rot and drop early. Collect and destroy all dropped fruits immediately to kill the larvae inside. Spray Imidacloprid @ 0.5 ml per liter or Phosmet @ 1.5 grams per liter just after the petals fall to kill the adults before they lay eggs."
Peach,Oriental Fruit Moth,"The larvae bore into the fruit near the stem, feeding around the pit (stone). The entry hole is often filled with gummy waste. The fruit ripens too fast and rots. Use pheromone mating disruption ties in the orchard to confuse male moths. Spray Spinosad @ 0.3 ml per liter or Carbaryl @ 2 grams per liter if you see shoot wilting or fruit damage beginning in early summer."
Pear,Pear Scab,"This fungus causes dark, velvety, olive-green spots on the fruit, which later become black, corky, and rough (scabby). The fruit often cracks and becomes deformed. To control this, collect and burn all fallen leaves and fruits in autumn as the fungus hides there during winter. Prune the tree to open up the canopy for sunlight. Spray Captan @ 2 grams per liter or Mancozeb @ 2.5 grams per liter when the buds are just opening and again when small fruits are forming."
Pear,Fire Blight,"This is a dangerous bacterial disease where the young fruits turn black, shrivel, and dry up but stay hanging on the tree, looking like they were burned by fire. Usually, liquid oozes from the infected parts. Cut the infected branches 12 inches below the visible damage using shears dipped in bleach solution between every cut. Spray Streptocycline (0.5 gram) mixed with Copper Oxychloride (2 grams) per liter of water during the flowering stage to protect the young fruits."
Pear,Bitter Rot,"Small, brown, circular spots appear on the fruit, which enlarge and sink into the flesh. In humid weather, pinkish spores appear in the center of the spots. The fruit tastes bitter and rots. Remove all ""mummy"" (dried) fruits hanging on the tree. Spray Carbendazim @ 1 gram per liter or Thiophanate Methyl @ 1 gram per liter during the summer when fruits are growing. Ensure good drainage in the orchard."
Pear,Fabraea Fruit Spot (Black Spot),"Small, purple-black spots appear on the fruit skin. As the fruit grows, the spots become sunken, and the fruit may crack or drop early. This happens mostly in wet seasons. Rake up and destroy fallen leaves and fruits. Spray Chlorothalonil @ 2 grams per liter or Mancozeb @ 2 grams per liter starting from petal fall. Repeat the spray every 10-15 days if the rain continues."
Pear,Stony Pit (Viral Disease),"The fruit becomes extremely bumpy, pitted, and deformed. The flesh inside becomes hard and woody (stone-like) and is difficult to cut. This is a virus and cannot be cured by spraying chemicals. The only solution is to remove the infected tree so it does not infect others. Always use virus-free grafted plants from a certified nursery when planting new trees."
Pear,Sooty Blotch and Flyspeck,"These are two different fungi that often appear together. Sooty blotch looks like black smudges on the skin, and flyspeck looks like tiny black dots (fly poop). It is a cosmetic issue and does not rot the fruit inside. Prune the tree to allow air circulation and reduce humidity around the fruits. Spraying Zineb or Mancozeb @ 2 grams per liter during the late summer rains will easily clean up the skin."
Pear,Blue Mold (Soft Rot),"This is the most common rot during storage. The fruit develops a soft, watery spot that quickly gets covered in blue-green powdery mold. It has a musty smell. Handle pears very gently during harvest to avoid punctures or bruises, as the mold enters through wounds. Dip harvested fruits in a solution of Thiabendazole before storage. Keep the storage area cool and clean."
Pear,Codling Moth (Worm in Fruit),"The larva bores into the fruit and eats the seeds, pushing out brown waste (frass) through the entry hole. The fruit ripens early and falls. Scrape loose bark from the tree trunk where larvae hide during winter. Hang Pheromone traps to catch male moths. Spray Spinosad @ 0.3 ml per liter or Carbaryl @ 2 grams per liter after petal fall to kill the young worms before they enter the fruit."
Pear,Pear Psylla Damage,"These tiny insects suck sap and produce sticky ""honeydew"" on the fruit, which turns into black Sooty Mold. The fruit skin may become russeted (rough and brown). Wash the trees with a strong jet of water to remove the sticky honeydew. Spray Imidacloprid @ 0.5 ml per liter or use Neem Oil @ 5 ml per liter to control the insects. Controlling the insect stops the black mold problem."
Pineapple,Heart Rot / Soft Rot,"The base of the fruit or the center heart becomes soft, watery, and smells bad. The fruit rots and pulls out easily. To prevent this, dip the suckers (seeds) in a solution of Mancozeb (2 grams per liter) or Metalaxyl (1 gram per liter) before planting. Improve drainage in the field so water does not stand. If disease appears, spray Fosetyl-Al @ 2 grams per liter on the plants."
Pineapple,Fruitlet Core Rot (Black Spot),"The outside of the fruit looks normal, but when you cut it, the eyes inside are black or brown and hard. This is caused by fungi entering through flower parts or mite damage. Spray Copper Oxychloride @ 3 grams per liter or Mancozeb @ 2 grams per liter during the flowering stage. Since mites help spread this, spray a miticide like Dicofol @ 2 ml per liter if you see insects."
Pineapple,Yeasty Fermentation (Water Blister),"The fruit skin cracks or gets injured, and the inside turns soft, bubbly, and smells like alcohol or vinegar. This happens due to yeast entering wounds. Handle fruits very gently during harvest and transport to avoid cracks. Do not leave harvested fruits in the hot sun; cool them immediately. Dip the cut stem end in a solution of Benomyl or Thiabendazole immediately after harvest."
Pineapple,Sunburn (Sun Scald),"The side of the fruit facing the sun turns yellow-white or bleached and becomes soft or dried out. The flesh inside loses flavor. Cover the developing fruits with dry grass, straw, or push the plant's own leaves over the fruit to shade it. Planting trees closer together can also provide natural shade for the fruits."
Pineapple,Pink Disease,"The fruit looks fine from the outside, but when heated for canning or cooking, the flesh turns brownish-pink and smells bad. This is caused by bacteria. To prevent this, harvest the fruit early before it becomes over-ripe. Avoid harvesting during heavy rain. Ensure the field has good drainage and apply balanced fertilizers to keep the plant strong."
Pineapple,Marbling Disease,"The flesh inside the fruit becomes hard, speckled with brown spots, and very crisp (crunchy). It is a bacterial disease. Clean the harvesting knives with bleach solution frequently to stop spreading it from plant to plant. Control fruit borers and other insects as they carry the bacteria into the fruit. Spray Copper Oxychloride @ 3 grams per liter during fruit development."
Pineapple,Green Fruit Rot,"Green fruits rotting on the plant, often starting near the soil. This happens in very wet soil. Avoid planting in low-lying areas where water collects. Do not throw soil onto the plant during weeding operations. Spray Metalaxyl + Mancozeb @ 2 grams per liter if heavy rains occur while fruits are still green."
Pineapple,Leathery Pocket,The internal flesh becomes hard and corky (leathery) in pockets. This is not a fungus but a reaction to insects or stress. Regular watering is key. Control insects like mites and mealybugs using Neem Oil @ 5 ml per liter or appropriate insecticides during the early growth of the fruit to prevent this internal damage.
Plum,Brown Rot,"This is the most damaging disease where the fruit turns soft, watery brown, and gets covered in grey powdery tufts. The fruit rots quickly and often shrivels up (mummies) on the tree. To control this, remove and burn all dried ""mummy"" fruits remaining on the tree during winter. Spray Captan @ 2 grams per liter or Tebuconazole @ 1 ml per liter when the flowers start opening and again 2 weeks before harvest."
Plum,Plum Pockets (Bladder Plum),"The fruit becomes unusually large, puffed up, and hollow like a balloon. It turns pale yellow or grey and eventually dries up and falls. This fungus overwinters on the twigs. Remove and destroy all deformed, puffed-up fruits immediately. The most important treatment is to spray Copper Oxychloride @ 3 grams per liter or Lime Sulphur just before the buds open in early spring (dormant stage) to kill the fungus before it enters the flower."
Plum,Bacterial Spot (Shot Hole),"Dark, sunken, scabby spots appear on the fruit skin, often causing deep cracks or pits. The fruit may drop early. This disease spreads in warm, wet weather. Avoid planting in low-lying areas with poor air circulation. Spray Copper Oxychloride @ 3 grams per liter very carefully (as it can burn leaves) or use Agrimycin (Streptocycline) during the petal fall stage. Using resistant varieties is the best long-term solution."
Plum,Plum Scab,"Small, round, olive-green velvety spots appear on the fruit skin. As the fruit grows, these spots turn black and may cause the skin to crack. It usually happens if the orchard is too shady or damp. Prune the tree to allow sunlight to reach the inner branches. Spray Wettable Sulphur @ 2 grams per liter or Captan @ 2 grams per liter when the fruit shucks (coverings) are splitting off the young fruit."
Plum,Plum Pox Virus (Sharka),"Pale rings or yellow patterns appear on the fruit skin. The fruit may become deformed, bumpy, and drop prematurely. The flesh inside often has brown streaks. There is no chemical cure for this virus. You must dig out and burn the infected tree immediately to save the rest of the orchard. Control aphids (greenflies) by spraying Dimethoate @ 2 ml per liter, as they spread this virus from tree to tree."
Plum,Plum Curculio Damage,"A small beetle cuts a crescent-shaped (half-moon) mark on the fruit skin to lay eggs. The worm eats inside, causing the fruit to rot and drop. Collect and bury all fallen fruits daily to kill the larvae inside. Spray Imidacloprid @ 0.5 ml per liter or Phosmet @ 1.5 grams per liter immediately after the petals fall to kill the adults before they damage the fruit."
Plum,Rhizopus Rot (Ripe Fruit Rot),"This rot attacks ripe fruits during harvest or storage. The fruit turns very soft, leaks liquid, and gets covered in a fluffy white mold with black dots. It enters only through wounds. Handle plums very gently during harvest; do not drop or squeeze them. Cool the fruits immediately after picking. Dip the fruits in a solution of Propiconazole or recommended post-harvest fungicide before packing."
Plum,Russeting (Powdery Mildew),"White powdery patches on young fruits eventually disappear, leaving behind hard, brown, rough (rusty) patches on the skin. The fruit does not rot but looks ugly. Prune the tree to reduce humidity. Spray Wettable Sulphur @ 2 grams per liter or Myclobutanil @ 0.5 ml per liter starting from the petal fall stage to keep the skin smooth."
Pomegranate,Bacterial Blight (Oily Spot / Telya),"This is the most dangerous disease where oily spots appear on the fruit and later crack open. Immediately cut and burn all infected branches and fruits to stop the spread. After pruning, apply Bordeaux paste on cut ends. Spray a mixture of Streptocycline (0.5 gram) and Copper Oxychloride (2.5 grams) per liter of water. During the rainy season, repeat the spray every 10-15 days and keep the orchard floor very clean."
Pomegranate,Anthracnose (Fruit Rot),"Small, dark brown spots appear on the fruit skin, which later become hard and sunken. Prune and destroy dried twigs and infected fruits. Spray Carbendazim @ 1 gram per liter or Propiconazole @ 1 ml per liter during the fruit development stage. If the weather is cloudy and humid, spray Mancozeb @ 2 grams per liter to protect the healthy fruits."
Pomegranate,Heart Rot (Internal Breakdown),"The fruit looks healthy from the outside, but the inside turns black and rotten with a foul smell. This fungus enters through the flower. To prevent this, spray Mancozeb @ 2 grams per liter or Copper Oxychloride @ 3 grams per liter during the flowering stage. Ensure the tree gets enough Boron and Calcium so the flower end does not crack and let the fungus in."
Pomegranate,Fruit Cracking (Splitting),"Fruits crack open, usually due to irregular watering or Boron deficiency. Maintain constant soil moisture by watering regularly; do not let the soil get too dry and then flood it. Spray Borax or Solubor @ 2 grams per liter when the fruits are lemon-sized. Mulching the soil with dry grass helps keep moisture levels steady and prevents cracking."
Pomegranate,Sun Scald (Sunburn),"A black or white hard patch forms on the side of the fruit facing the sun, damaging the quality. Protect the developing fruits by covering them with paper bags or dry grass. Maintain a good leaf canopy by providing balanced nutrition so the leaves naturally shade the fruits. In extreme heat, spray Kaolin clay (50 grams per liter) to create a white protective layer on the fruits."
Pomegranate,Fruit Borer (Anar Butterfly),"The butterfly lays eggs on the flower/fruit, and the caterpillar bores inside, causing rot and bad smell. Cover the fruits with butter paper bags or polymer bags when they are the size of a lemon. Remove and destroy any fruits with holes immediately. Spray Neem Oil @ 3 ml per liter or Spinosad @ 0.3 ml per liter when the fruits are small to keep the pest away."
Pomegranate,Cercospora Fruit Spot,"Black necrotic spots cover the fruit surface, reducing its market value. This usually happens in warm, humid weather. Clean the orchard by removing weeds and fallen leaves. Spray Thiophanate Methyl @ 1 gram per liter or Chlorothalonil @ 2 grams per liter. Repeat the spray after 15 days if the spots continue to appear."
Pomegranate,Alternaria Fruit Spot,"Small reddish-brown spots appear, often starting near the crown (calyx) of the fruit, eventually causing rot. Spray Mancozeb @ 2.5 grams per liter or Tebuconazole @ 1 ml per liter during fruit development. Improve air circulation in the orchard by pruning extra branches so humidity does not build up around the fruits."
Sapota,Anthracnose (Fruit Rot),"This disease causes dark, sunken spots on the fruit, which eventually harden or rot. To control it, prune the tree to remove dead twigs and overcrowded branches. Spray Carbendazim @ 1 gram per liter or Mancozeb @ 2 grams per liter when the fruits are setting. Ensure the orchard is clean and destroy any fallen, rotting fruits immediately to prevent the fungus from spreading to healthy trees."
Sapota,Sooty Mold (Black Coating),"A black, powdery layer covers the fruit, reducing its market price. This is caused by sticky honeydew from insects like scale insects and mealybugs. To fix this, spray a Starch solution (boil 1 kg Maida in 5 liters of water, cool, and dilute in 20 liters) on the fruits; as it dries, the mold peels off. You must also control the insects by spraying Neem Oil @ 5 ml per liter or Dimethoate @ 2 ml per liter."
Sapota,Fasciation (Flat Limb / Bandha Disease),"The branches become flat and twisted, and the fruits produced on them are tiny, clustered, and useless. This is a viral or genetic disorder. The only effective treatment is to cut and remove the flattened branches immediately and apply Bordeaux paste on the cut ends. Do not use grafts or bud sticks from trees that have this problem. Maintain good nutrition to keep the tree strong."
Sapota,Fruit Drop (Physiological),"Many young fruits turn yellow and drop off before maturing due to temperature changes or water stress. To stop this, spray NAA (Planofix) @ 4 ml in 18 liters of water twice: once during flowering and again when fruits are pea-sized. Alternatively, spray Gibberellic Acid (GA3) @ 50 ppm. Ensure regular watering during the summer months to keep the soil moisture constant."
Sapota,Chikoo Moth / Fruit Borer,"The larvae bore into flower buds and young fruits, causing them to dry up and fall with a hole visible. Clean the orchard floor by removing fallen buds and fruits. Install light traps to catch the moths. Spray Quinalphos @ 2 ml per liter or Profenofos @ 1 ml per liter during the bud and flowering stage. Avoid spraying chemicals when the fruit is close to harvest."
Sapota,Seed Borer,"This is a serious pest where a tiny worm enters the fruit and eats the seed inside, making the fruit rot from within. The entry hole heals, so the fruit looks fine outside but is bad inside. Collect and burn all fallen fruits. Spray Deltamethrin @ 1 ml per liter or Neem Oil @ 5 ml per liter when fruits are marble-sized to prevent the pest from entering."
Sapota,Fruit Spot (Phaeophleospora),"Small, pinkish to reddish-brown spots appear on the fruit skin, which may join together to form large patches. Prune the canopy to allow sunlight to reach the inner branches. Spray Copper Oxychloride @ 3 grams per liter or Thiophanate Methyl @ 1 gram per liter during fruit development. Repeat the spray after 20 days if the weather remains humid."
Strawberry,Grey Mold (Botrytis Rot),"This disease spreads in cool, humid weather and thick crop growth. Keep good air movement by avoiding overcrowding and removing infected fruits and old leaves. Do not irrigate late in the evening. If needed, spray Carbendazim or Hexaconazole @ 1 g per liter of water. Harvest fruits on time and keep them dry during storage to reduce mold development."
Strawberry,Leather Rot (Phytophthora Rot),"This disease occurs when fruits touch wet soil. Use mulching with straw or plastic to keep fruits off the ground. Improve drainage and avoid water stagnation. Spray Metalaxyl + Mancozeb @ 2 g per liter after heavy rains. Remove and destroy infected fruits immediately, as they give bitter taste and spread infection in the field."
Strawberry,Anthracnose (Ripe Fruit Rot),"Collect and destroy infected fruits regularly to stop spread. Avoid overhead irrigation, especially during flowering and fruiting. Spray Carbendazim or Mancozeb @ 2 g per liter at early fruit stage and repeat if needed. Keep the field clean and rotate crops every season to reduce fungus buildup in soil."
Strawberry,Powdery Mildew (Fruit Mildew),This disease looks like white powder on fruits and leaves and spreads in dry weather. Spray Wettable Sulphur @ 2 g per liter or Hexaconazole @ 1 ml per liter. Remove heavily infected plant parts. Ensure proper spacing between plants for air movement. Balanced fertilizer use helps fruits ripen properly and reduces disease severity.
Strawberry,Rhizopus Rot (Soft Rot / Leak),This disease mainly spreads after harvest through wounds on fruits. Handle fruits carefully during harvesting and transport to avoid injuries. Remove damaged fruits immediately. Keep storage areas clean and dry. Dip harvested fruits in hot water (48–50°C for 2–3 minutes) or spray Carbendazim @ 1 g per liter to reduce rot during storage.
Strawberry,Stem-End Rot (Gnomonia),"This rot starts near the fruit cap, so always harvest fruits carefully without pulling the green cap. Remove and destroy infected fruits from the field. Avoid overhead watering during fruiting and keep good air circulation. Spray Carbendazim or Thiophanate-methyl @ 1 g per liter at early fruit stage. Clean field sanitation and timely harvest greatly reduce this disease."
Strawberry,Black Spot (Alternaria),"Collect and destroy infected fruits and fallen plant waste regularly. Avoid water splashing on fruits during irrigation. Spray Mancozeb @ 2 g per liter or Chlorothalonil at fruit development stage. Maintain proper plant spacing and apply balanced fertilizer, especially potassium. Good air flow and clean field conditions help prevent further spread and keep fruits market-ready."
Strawberry,Fruit Blotch (Pestalotiopsis),This disease spreads during humid weather. Remove affected fruits immediately to stop spread. Avoid dense planting and improve air circulation. Spray Carbendazim or Propiconazole @ 1 g per liter at early symptom stage. Use clean planting material and avoid wetting fruits while watering. Proper drainage and timely spray help fruits remain healthy and smooth.
Strawberry,Soft Water Rot (Mucor Rot),"This rot develops very fast after harvest, especially on injured fruits. Harvest carefully to avoid cuts and bruises. Remove damaged fruits immediately. Keep harvested fruits in a cool, dry place. Dip fruits in hot water at 48–50°C for 2–3 minutes or spray Carbendazim @ 1 g per liter to reduce post-harvest losses."
Strawberry,Berry Soft Rot (Choanephora Rot),"This disease spreads very fast in hot, humid weather. Remove and destroy infected fruits immediately to stop spread. Avoid overcrowding and ensure good air flow between plants. Do not irrigate late evening. Spray Carbendazim or Mancozeb @ 2 g per liter at early symptoms. Keep the field clean and well-drained to reduce humidity and fungal growth."
Strawberry,Sunscald (Physiological Disorder – Not a Disease),"Sunscald happens due to strong sunlight, not germs. Protect fruits by maintaining good leaf cover; avoid excessive pruning. Use straw mulch or shade nets to reduce heat stress. Water the field regularly to avoid moisture stress. Balanced fertilizer application helps plants maintain healthy foliage, which naturally shields fruits from direct sun damage."
Strawberry,Fruit Mummy (Monilinia Rot),"Collect and destroy mummified fruits from plants and soil, as they spread infection next season. Improve air circulation by proper spacing and pruning. Avoid water splash on fruits. Spray Carbendazim or Propiconazole @ 1 g per liter during flowering and early fruit stage. Good field sanitation is the most effective control method for this disease."
Strawberry,Secondary Rots (Penicillium / Aspergillus),"These rots enter through wounds caused by birds, cracks, or rough handling. Control birds using nets and harvest fruits carefully. Remove damaged fruits immediately. Keep storage rooms clean, cool, and dry. Dip fruits in hot water (48–50°C for 2–3 minutes) or spray Carbendazim @ 1 g per liter to reduce post-harvest losses."
Tomato,Blossom End Rot (Nutrient Problem),This is not a disease. It happens due to lack of calcium and irregular watering. Water the crop regularly and do not allow soil to dry fully or stay flooded. Put mulch like dry leaves or straw to keep moisture. Spray calcium chloride or calcium nitrate on small fruits to help them grow strong and healthy.
Tomato,Tomato Fruit Borer (Insect),This is very common in Karnataka. The worm enters the fruit and eats from inside. Remove and destroy damaged fruits immediately. Use pheromone traps to catch moths early. Grow marigold plants around the field to reduce attack. Spray neem-based spray or biopesticides in the early stage to control worms.
Tomato,Pinworm – Tuta absoluta (Insect),This pest makes tiny holes and damages fruit from inside. Install Tuta pheromone traps and light traps in the field. Remove and burn affected fruits quickly. Do not leave damaged fruits in the field. Rotate crops next season to reduce this pest problem.
Tomato,Anthracnose (Fungal Disease),"Small black or brown sunken spots appear on ripe fruits, especially during rainy weather. Keep fruits off the soil by tying plants to sticks. Harvest fruits as soon as they ripen. Keep the field clean. If rain continues, spray copper-based fungicide to protect fruits."
Tomato,Early Blight (Fungal Disease),Dark ring-like spots appear first on old leaves and later on fruits. Remove yellow and infected lower leaves. Give enough space between plants for air movement. Spray Mancozeb or similar fungicide when early symptoms appear on leaves.
Tomato,Buckeye Rot (Fungal Disease),Fruits touching wet soil develop round brown spots. Always keep fruits above ground using stakes. Apply straw or plastic mulch to avoid soil contact. Improve drainage and avoid water standing in the field. Raised beds help prevent this problem.
Tomato,Bacterial Spot (Bacterial Disease),Fruits develop rough brown spots that reduce market value. Avoid sprinkling water on leaves and fruits. Use drip irrigation. Remove affected fruits. Spray copper-based bactericide early to stop further spread during rainy weather.
Tomato,Tomato Spotted Wilt (Bud Necrosis),This virus is common in South India. Infected plants cannot be cured. Remove and destroy the whole plant immediately. Control thrips by fixing blue sticky traps in the field. Spray Neem Oil regularly or Imidacloprid in early stages. Keep the field and borders free from weeds where thrips hide.
Tomato,Late Blight,"This disease appears during cool, cloudy, or misty weather. Spray Mancozeb or Metalaxyl before or at the first sign of disease. Keep enough space between plants so air can flow and leaves dry fast. Avoid watering on leaves, especially in the evening."
Tomato,Bacterial Canker,"Once a plant is infected, it cannot be cured. Remove and destroy infected plants to protect others. Spray copper-based chemicals on healthy plants to reduce spread. Clean knives and tools after use. Always use certified disease-free seeds for the next crop."
Tomato,Sunscald,"This is sunburn, not a disease. It happens in hot weather when fruits are exposed to direct sunlight. Do not remove too many leaves. Allow leaves to shade fruits naturally. During extreme heat, use a light shade net (30%) to protect fruits."
Tomato,Fruit Cracking,This happens due to sudden heavy watering after dry conditions. Water the crop regularly and evenly. Use mulch to maintain soil moisture. Avoid excess irrigation after rain. Choose crack-resistant varieties if possible. Remove cracked fruits early to avoid rotting.
Tomato,Catfacing (Physiological Problem),"Fruits become misshapen and scarred, especially in cold North Indian winters. This is not a disease. Avoid planting sensitive varieties during very cold months. Do not apply excess nitrogen fertilizer. Proper planting time is the best solution; sprays will not help."
Tomato,Puffiness / Hollow Fruit (Physiological Problem),Fruits look normal but feel light and empty inside. This happens due to poor pollination during very hot or very cold weather. Gently shake plants during daytime to help pollen movement. Avoid spraying chemicals during flowering as they reduce bee activity.
Tomato,Grey Mold (Ghost Spot) – Fungal,"Small white rings appear on fruits in cool and damp weather. Reduce humidity by removing excess leaves so air can pass through plants. In protected cultivation, keep good ventilation. Remove affected fruits. Spray Chlorothalonil only if wet weather continues."
Tomato,Black Mold (Fungal),"Ripe fruits develop black powdery mold, mainly after rain near harvest. Harvest fruits as soon as they ripen. Avoid fruit cracking and sunburn. Handle fruits carefully during picking so the skin is not damaged."
Tomato,Cloudy Spot (Insect Damage),"White or yellow cloudy patches appear on fruit skin, and taste becomes poor. This is caused by stink bugs sucking fruit juice. Keep the field and borders free of weeds. Handpick bugs using gloves. Spray Neem Oil to stop bugs from feeding."
Walnut,Walnut Blight (Bacterial),"This is the most dangerous disease. Small, water-soaked spots appear on the green husk, which quickly turn black and sunken. The nut inside shrivels, turns black, and rots. To control it, spray Copper Oxychloride @ 3 grams per liter or Bordeaux Mixture (1%) starting when the female flowers (catkins) appear. Repeat the spray every 7-10 days if the weather is wet during spring. Avoid overhead sprinklers as water splashing spreads the bacteria."
Walnut,Anthracnose,"Circular, sunken, brown spots appear on the green husk. If the infection is severe, the nut drops early or the kernel inside shrivels. The shell may get stained dark. Clean the orchard by burning fallen leaves and nuts in winter, as the fungus lives there. Spray Mancozeb @ 2.5 grams per liter or Copper Oxychloride @ 3 grams per liter when the leaves are unfolding and again when the nuts are small."
Walnut,Codling Moth Damage,"The larva (worm) bores into the young nut through the blossom end, eating the kernel inside. You will see black waste (frass) at the entry hole. The damaged nuts fall early. Use pheromone traps to catch male moths. Spray Spinosad @ 0.3 ml per liter or Carbaryl @ 2 grams per liter when the moths are flying (usually late spring). Remove and destroy all fallen, infested nuts immediately."
Walnut,Walnut Husk Fly,"Maggots feed inside the green husk, turning it into a black, soft, mushy liquid. This stains the nut shell a dirty black color and makes the kernel shrivel. Hang yellow sticky traps to catch the flies. Spray a bait mixture (Jaggery/Molasses + Malathion) on the leaves to attract and kill the flies before they lay eggs. This does not damage the nut directly but ruins the quality and price."
Walnut,Kernel Mold,"The nut looks fine outside, but when cracked, the kernel is covered in green, blue, or black mold. This happens if the hull splits but the nut is not harvested quickly, or if insects damage the shell. Harvest the nuts as soon as 80% of the hulls have split; do not leave them on the tree. Dry the harvested nuts immediately to remove moisture. Controlling sunburn and insect damage also prevents mold."
Walnut,Sunburn,"The side of the green husk facing the hot sun turns yellow or brown and becomes hard. The kernel inside may darken or shrivel. This happens in peak summer. Maintain a healthy canopy of leaves to shade the nuts by providing enough water and fertilizer. In extreme heat, you can whitewash the tree trunks or use overhead misters to cool the orchard, but avoid keeping the nuts wet for too long."
Walnut,Branch Wilt (Nuts drying),"While this affects branches, the main symptom farmers see is the husk and nut drying up suddenly and sticking to the branch (mummies). The outer husk turns greyish-brown. Prune the affected branch well below the wilted part and burn it. Do not shake the tree when harvesting infected nuts, as this spreads fungal spores. Maintain tree health with proper irrigation."
Watermelon,Anthracnose (Round Spot),"Sunken, circular spots appear on the fruit rind, which turn black during rain, causing the fruit to crack or rot. Clean the field by destroying infected vines and fruits and do not plant watermelon in the same place every year. Spray Carbendazim @ 1 gram per liter or Mancozeb @ 2.5 grams per liter when fruits start forming. Handle fruits carefully to avoid skin damage during harvest."
Watermelon,Bacterial Fruit Blotch,"Dark, water-soaked, oily stains appear on the top surface of the fruit, eventually causing the skin to crack and the fruit to rot inside. This spreads fast in warm, wet weather. Use only certified disease-free seeds. If you see symptoms, spray Copper Oxychloride @ 3 grams per liter mixed with Streptocycline (small packet) immediately. Avoid overhead watering (sprinklers) as it splashes bacteria onto the fruit."
Watermelon,Blossom End Rot,"The bottom end of the fruit (where the flower was) turns black, leathery, and flat. This is not a fungus but a result of Calcium deficiency and irregular watering. Maintain steady soil moisture by watering regularly; do not let the soil get too dry and then flood it. Spray Calcium Chloride or Calcium Nitrate @ 2 grams per liter when fruits are small (marble-sized) to fix the deficiency."
Watermelon,Belly Rot (Ground Rot),"The part of the fruit touching the wet soil turns brown, soft, and develops mold. To prevent this, do not let fruits sit directly on the soil. Place a piece of wood, stone, or a bed of dry straw (mulch) under each fruit. You can also use plastic mulch sheets before planting. Spraying the soil under the vines with Copper Oxychloride @ 3 grams per liter can help reduce the fungus."
Watermelon,Sun Scald (Sunburn),"Large white or bleached patches appear on the fruit surface exposed to direct sunlight, making the area weak and prone to rot. Maintain a healthy leaf canopy to shade the fruits by providing proper fertilizers. Cover exposed fruits with dry straw, newspaper caps, or the plant's own leaves during the peak summer heat to protect the skin."
